iter	Passed	Remaining
411	3667	5234
412	3676	5225
413	3685	5217
414	3694	5208
415	3702	5198
416	3711	5189
417	3720	5179
418	3728	5170
419	3749	5178
420	3758	5169
421	3767	5160
422	3776	5151
423	3784	5141
424	3793	5131
425	3802	5123
426	3811	5114
427	3820	5105
428	3829	5097
429	3838	5088
430	3847	5079
431	3856	5070
432	3865	5061
433	3874	5052
434	3883	5044
435	3892	5035
436	3901	5026
437	3910	5018
438	3919	5008
439	3928	5000
440	3938	4991
441	3947	4983
442	3956	4974
443	3964	4964
444	3973	4956
445	3982	4947
446	3991	4938
447	3999	4928
448	4008	4919
449	4017	4910
450	4026	4902
451	4032	4889
452	4040	4878
453	4048	4869
454	4058	4861
455	4066	4851
456	4074	4840
457	4082	4831
458	4088	4819
459	4096	4808
460	4103	4797
461	4112	4789
462	4120	4779
463	4129	4769
464	4138	4761
465	4147	4752
466	4156	4743
467	4164	4734
468	4172	4724
469	4181	4715
470	4188	4704
471	4196	4694
472	4204	4684
473	4213	4675
474	4221	4666
475	4229	4656
476	4238	4647
477	4248	4639
478	4256	4629
479	4264	4619
480	4271	4609
481	4279	4599
482	4287	4588
483	4296	4580
484	4304	4570
485	4312	4561
486	4321	4552
487	4330	4543
488	4339	4534
489	4347	4525
490	4356	4515
491	4365	4507
492	4373	4498
493	4382	4489
494	4390	4478
495	4398	4469
496	4406	4459
497	4414	4449
498	4422	4440
499	4429	4429
500	4438	4420
501	4447	4411
502	4455	4402
503	4461	4390
504	4468	4380
505	4476	4370
506	4483	4359
507	4491	4349
508	4512	4353
509	4521	4344
510	4529	4334
511	4537	4325
512	4545	4315
513	4554	4306
514	4564	4298
515	4572	4288
516	4579	4278
517	4587	4268
518	4594	4258
519	4602	4248
520	4611	4240
521	4619	4229
522	4627	4220
523	4635	4211
524	4645	4203
525	4653	4193
526	4663	4185
527	4672	4176
528	4681	4168
529	4689	4158
530	4696	4148
531	4703	4137
532	4711	4128
533	4720	4119
534	4729	4110
535	4737	4100
536	4745	4091
537	4752	4081
538	4761	4072
539	4771	4064
540	4780	4055
541	4789	4047
542	4798	4038
543	4807	4029
544	4816	4020
545	4825	4012
546	4834	4003
547	4843	3994
548	4851	3985
549	4860	3976
550	4869	3968
551	4878	3959
552	4888	3951
553	4897	3942
554	4905	3933
555	4914	3924
556	4922	3915
557	4931	3906
558	4941	3898
559	4949	3888
560	4958	3879
561	4967	3871
562	4976	3862
563	4984	3853
564	4993	3844
565	5002	3835
566	5011	3827
567	5019	3817
568	5028	3808
569	5036	3799
570	5045	3790
571	5055	3782
572	5064	3774
573	5073	3765
574	5082	3756
575	5092	3748
576	5100	3739
577	5108	3729
578	5116	3720
579	5125	3711
580	5134	3702
581	5143	3693
582	5152	3685
583	5161	3676
584	5171	3668
585	5180	3659
586	5188	3650
587	5196	3641
588	5205	3632
589	5214	3623
590	5223	3614
591	5231	3605
592	5240	3596
593	5248	3587
594	5257	3578
595	5265	3569
596	5274	3560
597	5283	3551
598	5292	3543
599	5301	3534
600	5311	3525
601	5320	3517
602	5328	3508
603	5338	3499
604	5347	3491
605	5356	3482
606	5365	3474
607	5374	3465
608	5383	3456
609	5392	3447
610	5400	3438
611	5409	3429
612	5418	3420
613	5427	3412
614	5436	3403
615	5445	3394
616	5454	3385
617	5462	3376
618	5470	3367
619	5480	3358
620	5489	3350
621	5498	3341
622	5507	3332
623	5517	3324
624	5525	3315
625	5533	3306
626	5543	3297
627	5552	3289
628	5562	3280
629	5570	3271
630	5579	3262
631	5589	3254
632	5597	3245
633	5605	3236
634	5614	3227
635	5623	3218
636	5631	3208
637	5640	3200
638	5649	3191
639	5657	3182
640	5666	3173
641	5674	3164
642	5683	3155
643	5692	3146
644	5701	3138
645	5711	3129
646	5719	3120
647	5727	3111
648	5737	3102
649	5745	3093
650	5753	3084
651	5761	3074
652	5769	3065
653	5777	3056
654	5784	3046
655	5792	3037
656	5802	3029
657	5810	3020
658	5817	3010
659	5824	3000
660	5829	2989
661	5837	2980
662	5846	2971
663	5855	2963
664	5864	2954
665	5874	2945
666	5883	2937
667	5892	2928
668	5900	2919
669	5910	2910
670	5918	2902
671	5927	2893
672	5934	2883
673	5942	2874
674	5949	2864
675	5957	2855
676	5964	2845
677	5973	2836
678	5981	2827
679	5989	2818
680	5999	2810
681	6009	2801
682	6017	2792
683	6024	2783
684	6031	2773
685	6039	2764
686	6048	2755
687	6056	2746
688	6064	2737
689	6073	2728
690	6081	2719
691	6089	2710
692	6096	2700
693	6105	2691
694	6112	2682
695	6119	2672
696	6126	2663
697	6133	2653
698	6140	2643
699	6148	2635
700	6156	2625
701	6163	2616
702	6171	2607
703	6179	2598
704	6186	2588
705	6195	2580
706	6202	2570
707	6210	2561
708	6218	2552
709	6226	2543
710	6233	2533
711	6241	2524
712	6250	2515
713	6258	2506
714	6265	2497
715	6272	2487
716	6281	2479
717	6289	2470
718	6297	2461
719	6304	2451
720	6311	2442
721	6319	2433
722	6328	2424
723	6335	2415
724	6344	2406
725	6352	2397
726	6359	2388
727	6367	2378
728	6376	2370
729	6384	2361
730	6393	2352
731	6401	2343
732	6408	2334
733	6416	2325
734	6424	2316
735	6442	2311
736	6484	2313
737	6489	2303
738	6497	2294
739	6510	2287
740	6517	2278
741	6525	2268
742	6532	2259
743	6538	2249
744	6547	2241
745	6556	2232
746	6564	2223
747	6573	2214
748	6582	2205
749	6590	2196
750	6596	2187
751	6604	2178
752	6612	2169
753	6621	2160
754	6627	2150
755	6634	2141
756	6643	2132
757	6652	2123
758	6659	2114
759	6667	2105
760	6674	2096
761	6683	2087
762	6691	2078
763	6699	2069
764	6707	2060
765	6715	2051
766	6722	2042
767	6729	2032
768	6738	2024
769	6744	2014
770	6752	2005
771	6761	1996
772	6769	1988
773	6778	1979
774	6785	1970
775	6793	1960
776	6800	1951
777	6807	1942
778	6815	1933
779	6823	1924
780	6831	1915
781	6841	1907
782	6849	1898
783	6857	1889
784	6866	1880
785	6873	1871
786	6881	1862
787	6889	1853
788	6897	1844
789	6906	1835
790	6914	1827
791	6923	1818
792	6931	1809
793	6940	1800
794	6948	1791
795	6956	1782
796	6965	1774
797	6973	1765
798	6981	1756
799	6989	1747
800	6998	1738
801	7006	1729
802	7014	1720
803	7022	1711
804	7030	1702
805	7037	1693
806	7044	1684
807	7052	1675
808	7059	1666
809	7067	1657
810	7074	1648
811	7083	1640
812	7091	1631
813	7099	1622
814	7107	1613
815	7115	1604
816	7125	1595
817	7132	1586
818	7140	1578
819	7148	1569
820	7157	1560
821	7166	1551
822	7175	1543
823	7183	1534
824	7193	1525
825	7202	1517
826	7210	1508
827	7219	1499
828	7227	1490
829	7236	1482
830	7244	1473
831	7252	1464
832	7259	1455
833	7267	1446
834	7273	1437
835	7281	1428
836	7289	1419
837	7298	1410
838	7307	1402
839	7315	1393
840	7323	1384
841	7331	1375
842	7338	1366
843	7346	1357
844	7354	1349
845	7362	1340
846	7369	1331
847	7377	1322
848	7385	1313
849	7393	1304
850	7401	1295
851	7407	1286
852	7417	1278
853	7425	1269
854	7434	1260
855	7442	1251
856	7451	1243
857	7460	1234
858	7469	1226
859	7478	1217
860	7489	1209
861	7496	1200
862	7503	1191
863	7511	1182
864	7518	1173
865	7525	1164
866	7533	1155
867	7541	1146
868	7548	1137
869	7555	1128
870	7564	1120
871	7572	1111
872	7582	1103
873	7590	1094
874	7599	1085
875	7607	1076
876	7617	1068
877	7626	1059
878	7635	1051
879	7644	1042
880	7653	1033
881	7661	1025
882	7669	1016
883	7677	1007
884	7685	998
885	7693	989
886	7703	981
887	7712	972
888	7720	963
889	7730	955
890	7739	946
891	7748	938
892	7757	929
893	7765	920
894	7775	912
895	7784	903
896	7793	894
897	7802	886
898	7811	877
899	7820	868
900	7829	860
901	7839	851
902	7848	843
903	7856	834
904	7865	825
905	7874	816
906	7883	808
907	7890	799
908	7898	790
909	7907	782
910	7917	773
911	7926	764
912	7935	756
913	7944	747
914	7953	738
915	7962	730
916	7970	721
917	7978	712
918	7987	704
919	7996	695
920	8005	686
921	8014	677
922	8022	669
923	8031	660
924	8041	652
925	8050	643
926	8058	634
927	8067	625
928	8075	617
929	8084	608
930	8093	599
931	8102	591
932	8111	582
933	8120	573
934	8130	565
935	8138	556
936	8146	547
937	8153	538
938	8161	530
939	8170	521
940	8180	512
941	8189	504
942	8199	495
943	8207	486
944	8215	478
945	8223	469
946	8230	460
947	8238	451
948	8245	443
949	8253	434
950	8262	425
951	8270	416
952	8277	408
953	8285	399
954	8292	390
955	8301	382
956	8309	373
957	8320	364
958	8328	356
959	8333	347
960	8341	338
961	8349	329
962	8356	321
963	8363	312
964	8371	303
965	8378	294
966	8387	286
967	8397	277
968	8406	268
969	8414	260
970	8423	251
971	8432	242
972	8441	234
973	8449	225
974	8458	216
975	8467	208
976	8476	199
977	8486	190
978	8494	182
979	8504	173
980	8511	164
981	8520	156
982	8528	147
983	8537	138
984	8545	130
985	8554	121
986	8563	112
987	8573	104
988	8582	95
989	8591	86
990	8600	78
991	8610	69
992	8619	60
993	8627	52
994	8637	43
995	8646	34
996	8655	26
997	8663	17
998	8671	8
999	8681	0
