관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
30140-100216469,대전중촌주공2단지아파트,0,601.39,4224.78,4175.55,0,112,0,대전광역시 중구 대전천서로 695,대전광역시 중구 중촌동 128-1
48127-3000072500,마산삼계2주공아파트,0,12.54,12.54,12.54,0,0,0,경상남도 창원시 마산회원구 내서읍 삼계2길 24,경상남도 창원시 마산회원구 내서읍 삼계리 39
48127-1000047156,중리영구임대아파트,0,439.01,693.59,693.59,0,0,0,경상남도 창원시 마산회원구 내서읍 상곡로 49,경상남도 창원시 마산회원구 내서읍 상곡리 193
48270-14887,밀양가곡주공아파트,0,245.76,337.08,245.76,1.23,0,0,경상남도 밀양시 중앙로 47,경상남도 밀양시 가곡동 455
48270-100179676,삼문휴먼시아아파트,0,604.793,4854.541,4839.636,0,72,0,경상남도 밀양시 미리벌중앙로 35,경상남도 밀양시 삼문동 567
44180-7042,주공아파트 상가,0,245.46,598.35,437.46,0,10,0,충청남도 보령시 주공로 50,충청남도 보령시 명천동 413
26320-2003,금곡1단지주공아파트,0,414.42,954.37,683.29,0,0,0,부산광역시 북구 효열로 268,부산광역시 북구 금곡동 53-1
26320-2057,금곡2단지주공아파트,0,366.74,453.94,362.52,0,0,0,부산광역시 북구 금곡대로616번길 10-9,부산광역시 북구 금곡동 98-1
26320-2121,금곡4단지주공아파트,0,451.83,1344.17,876.76,0,0,0,부산광역시 북구 효열로 76,부산광역시 북구 금곡동 1108
26320-2107,금곡7단지주공아파트,20336.8,3250.46,563.59,356.23,185.18,0,0,부산광역시 북구 금곡대로550번길 23,부산광역시 북구 금곡동 811
26320-10621,주공아파트,0,775.25,2847.06,1899.06,0,0,0,부산광역시 북구 덕천로 74,부산광역시 북구 덕천동 808
26320-7361,만덕3단지주공아파트,0,378.452,520.984,520.984,0,0,0,부산광역시 북구 함박봉로140번길 21,부산광역시 북구 만덕동 944-6
26530-3672,모라영구임대아파트사회복지관,0,1166.19,4522.32,3028.32,0,0,0,부산광역시 사상구 모라로110번길 121,부산광역시 사상구 모라동 552
26350-7013,반송영구임대아파트,0,438.65,1340.85,873.34,0,0,22,부산광역시 해운대구 신반송로 200,부산광역시 해운대구 반송동 77
26320-2174,율리마을주공아파트,0,9,9,9,0,0,0,부산광역시 북구 화명신도시로 255,부산광역시 북구 금곡동 1882
44760-5627,쌍북주공아파트,0,4219.88,2242.5,2242.5,98.53,50,0,충청남도 부여군 부여읍 성왕로328번길 15,충청남도 부여군 부여읍 쌍북리 113
48240-10063,벌리주공아파트,0,139.72,214.73,139.72,0,0,0,경상남도 사천시 주공1길 50,경상남도 사천시 벌리동 259
44210-3155,주공아파트,55470.2,150.16,148.34,148.34,0,3,0,충청남도 서산시 석림4로 83,충청남도 서산시 석림동 463-1
42210-8566,속초청초아파트,0,121.5,121.5,121.5,0,4,0,강원도 속초시 먹거리길 17,강원도 속초시 교동 961-1
31200-100182015,화봉2주공아파트,0,492.581,3104.518,3090.012,0,46,0,울산광역시 북구 화산로 36,울산광역시 북구 화봉동 1440
42130-100186545,원주문막주공아파트,0,461.771,6028.136,6028.136,0,90,0,강원도 원주시 문막읍 원문로 1684,강원도 원주시 문막읍 건등리 1742-1
26710-100178564,정관신도시 휴먼시아1단지,0,568.71,6969.3,6878.52,0,90,0,부산광역시 기장군 정관읍 정관4로 23,부산광역시 기장군 정관읍 용수리 1359
50110-14075, ,0,494.64,3320.1,3072.42,0,72,0,제주특별자치도 제주시 인다12길 2,제주특별자치도 제주시 아라일동 6136
50110-14219,으뜸마을,0,198.9,175.5,175.5,0,0,0,제주특별자치도 제주시 진군1길 3,제주특별자치도 제주시 노형동 753
50110-8704, ,58599,15676.81,95.58,95.58,140.82,0,4,제주특별자치도 제주시 동화로1길 35,제주특별자치도 제주시 화북일동 9-1
48170-38416,진주가좌주공아파트,0,479.25,1853.25,791.25,0,0,0,경상남도 진주시 가호로 26,경상남도 진주시 가좌동 660
48170-35169,평거(2) 주공아파트,20000,320.07,740.15,579.26,0,0,15,경상남도 진주시 진양호로125번길 6,경상남도 진주시 평거동 392
