관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
45210-100182658,김제검산(3) 휴먼시아,0,873.6,8094.28,8094.28,0,152,0,전라북도 김제시 금성로 140,전라북도 김제시 검산동 1050
41360-100215206,휴먼시아,0,472.64,6054.62,6016.8,0,90,0,경기도 남양주시 진접읍 해밀예당1로 295,경기도 남양주시 진접읍 금곡리 995
30200-15299,송림마을아파트4단지,0,14.973,9,9,0,0,0,대전광역시 유성구 노은로 358,대전광역시 유성구 하기동 542
44230-11158,주공아파트,0,315.36,1578.18,559.47,0,0,0,충청남도 논산시 논산대로348번길 7,충청남도 논산시 취암동 95
27710-10615,주공아파트,0,442.487,6297.478,6003.126,0,90,0,대구광역시 달성군 다사읍 매곡로14길 11,대구광역시 달성군 다사읍 매곡리 509
46840-100191989,무안남악3휴먼시아,0,329.657,4266.468,4266.468,0,60,0,전라남도 무안군 삼향읍 남악4로34번길 7,전라남도 무안군 삼향읍 남악리 2311
41190-157022,주공아파트,0,223.453,151.042,151.042,0,4,0,경기도 부천시 은성로 110-1,경기도 부천시 소사본동 408-1
42230-3027,건지주공아파트,0,459.048,459.048,459.048,0,0,0,강원도 삼척시 엑스포로 174,강원도 삼척시 건지동 173
42230-11025,삼척도계주공아파트,0,542.872,5455.415,5440.909,0,81,0,강원도 삼척시 도계읍 도계로 134,강원도 삼척시 도계읍 흥전리 346
50130-100192419,서귀포대정휴먼시아,0,215.74,213.22,0,0,0,0,제주특별자치도 서귀포시 대정읍 하모중앙로 6,제주특별자치도 서귀포시 대정읍 하모리 1450
26350-25584,송정1단지주공아파트,0,0,460.745,0,0,0,0,부산광역시 해운대구 송정1로 20,부산광역시 해운대구 송정동 929
48330-3489,양산신도시주공3단지아파트,0,416.345,1222.296,811.275,0,0,0,경상남도 양산시 양주로 153,경상남도 양산시 중부동 695-1
41630-100192848,은빛마을휴먼시아,0,525.792,6572.884,6534.2,0,84,0,경기도 양주시 고읍북로 15,경기도 양주시 만송동 694
41630-100189648,은빛마을 휴먼시아,0,569.403,7067.683,7052.977,0,98,0,경기도 양주시 고읍로 117-21,경기도 양주시 만송동 698
41630-10660,조은마을,0,126.389,109.934,109.934,0,0,0,경기도 양주시 고암길 252-36,경기도 양주시 고암동 580
