iter	MAE
0	336.8753837
1	329.4688569
2	324.6320489
3	318.2228204
4	312.5766947
5	306.3725442
6	300.9727719
7	297.4521466
8	291.7961113
9	285.3505344
10	280.8608164
11	274.8891558
12	271.605668
13	266.8017927
14	263.0023581
15	257.2283357
16	252.2856744
17	249.5572817
18	245.4270506
19	241.524315
20	238.0755045
21	233.9737664
22	231.5227768
23	228.125915
24	223.8147506
25	220.7972579
26	219.6366892
27	216.5524663
28	215.5585301
29	213.9207167
30	212.685146
31	209.2433604
32	206.8155807
33	203.7100589
34	199.7317396
35	196.8642551
36	194.6683265
37	191.6630404
38	189.7664658
39	187.3303804
40	186.654092
41	185.1378385
42	182.6529871
43	181.0125788
44	179.0640015
45	175.4965982
46	172.5021138
47	169.8900444
48	167.5878192
49	165.9247517
50	163.227785
51	161.3313595
52	158.7791192
53	156.2674696
54	154.714449
55	153.3843853
56	151.1647801
57	150.0725424
58	148.8067151
59	147.8547224
60	145.2316237
61	143.5733599
62	142.4655575
63	141.091147
64	139.0334233
65	137.552179
66	135.9935031
67	134.8080229
68	132.6605415
69	130.8811867
70	129.3980397
71	128.213292
72	126.4671285
73	125.4545703
74	123.5129945
75	121.5478839
76	120.573124
77	119.5474407
78	118.6635605
79	117.3369695
80	116.1299129
81	114.6691736
82	113.4910373
83	112.1606328
84	110.3178481
85	109.2877465
86	108.0634084
87	106.907473
88	106.2039859
89	105.0031995
90	104.0603126
91	102.2080679
92	100.5798099
93	99.76784569
94	98.82189141
95	97.25383386
96	96.25659929
97	95.13854548
98	93.95804823
99	92.40038299
100	90.57928003
101	89.62649061
102	88.94543306
103	88.10528585
104	87.32563476
105	86.51303191
106	85.49659197
107	84.77051928
108	84.06474324
109	82.92948938
110	82.26431609
111	81.92246294
112	81.27344541
113	80.88045945
114	80.21205217
115	78.79113864
116	78.05616547
117	77.18587467
118	76.24116179
119	75.38722115
120	74.8998473
121	74.39470745
122	73.94777369
123	73.02707282
124	72.07339676
125	71.64013161
126	70.86741408
127	70.4344241
128	69.83072578
129	69.12157017
130	68.24532338
131	67.64469382
132	67.11398428
133	66.52064906
134	65.74583251
135	65.30900474
136	64.82294151
137	64.01452817
138	63.82021444
139	62.78293431
140	62.28323142
141	61.7504583
142	61.25978048
143	60.93602813
144	59.7947952
145	59.46899828
146	58.89813713
147	57.97020952
148	57.00937259
149	56.48055772
150	55.85991246
151	55.31557985
152	55.05511634
153	54.58344048
154	53.69065946
155	53.35695119
156	52.87934577
157	52.2904931
158	51.62457632
159	51.04145106
160	50.6364261
161	50.48773813
162	49.75196668
163	49.48065249
164	49.15141122
165	48.81504103
166	48.28754004
167	47.93252051
168	47.69264766
169	47.49740498
170	47.21866456
171	46.88139291
172	46.50809788
173	46.28486328
174	45.97897912
175	45.55115797
176	45.25091575
177	45.04902602
178	44.44433604
179	43.8284
180	43.5638525
181	43.13177873
182	42.44396595
183	42.21793712
184	41.78135219
185	40.92188421
186	40.37140013
187	39.65768104
188	39.03770823
189	38.74085268
190	38.45831266
191	38.17223208
192	37.96150042
193	37.39732685
194	36.61695369
195	36.31133269
196	35.79065762
197	34.85235278
198	34.42003641
199	33.95420524
200	33.80202118
201	33.53368001
202	33.15486626
203	33.08203235
204	32.80865783
205	32.62812381
206	32.43524448
207	32.26110429
208	32.04440282
209	31.6624912
210	31.06578352
211	30.64903906
212	30.51820057
