iter	MAE
0	334.2965376
1	327.6678647
2	322.5947783
3	318.2730492
4	312.9761222
5	308.8466067
6	303.6475645
7	299.3353397
8	293.939834
9	289.6665547
10	285.2648994
11	281.5746458
12	277.1377333
13	273.1460491
14	267.924468
15	263.3692231
16	257.869723
17	252.9492842
18	248.868725
19	245.2136942
20	241.6311726
21	237.6722986
22	233.6466821
23	230.6194947
24	227.3644711
25	224.7400067
26	222.3561126
27	219.4507928
28	216.2848589
29	212.5726179
30	210.0900788
31	207.9509143
32	203.4082266
33	199.7950913
34	196.4780049
35	194.3401934
36	192.3589898
37	190.2714941
38	188.4161086
39	185.7970676
40	183.8281269
41	180.9571822
42	178.3113901
43	175.7134891
44	172.9401829
45	170.107087
46	167.4145559
47	165.8728751
48	163.359873
49	160.8355478
50	157.8337888
51	155.5920923
52	152.7527314
53	150.8751974
54	148.7239662
55	146.8512169
56	144.3853754
57	143.1855111
58	140.2015131
59	138.906715
60	135.7156081
61	134.0399959
62	132.0008455
63	129.5301754
64	126.9826323
65	125.364796
66	122.8948677
67	120.9411059
68	119.354974
69	117.5834857
70	116.0346674
71	114.7083303
72	113.2575682
73	111.8038911
74	110.0827127
75	108.4291466
76	106.9111698
77	105.2482279
78	104.1158449
79	103.0955007
80	101.9901744
81	101.1282285
82	99.74178679
83	98.26414707
84	97.27419385
85	95.99758609
86	94.03886079
87	92.56707821
88	91.98768802
89	91.16972285
90	89.67563716
91	88.73809393
92	87.67814916
93	87.15958165
94	86.12052253
95	85.24854188
96	84.68502805
97	83.66616927
98	82.70557547
99	81.79535532
100	80.66284751
101	80.10556555
102	79.17764123
103	78.46854773
104	77.78448607
105	76.66589256
106	76.01907075
107	75.5292195
108	74.4815949
109	73.1916129
110	72.55018651
111	71.47313951
112	71.28371288
113	70.58769767
114	69.55323215
115	68.8202829
116	68.19395475
117	67.44575362
118	66.93603005
119	66.40745493
120	65.77170529
121	65.40226243
122	64.86661271
123	64.04998939
124	63.2141983
125	62.58330052
126	62.10299418
127	61.62431092
128	60.80984832
129	59.85674412
130	59.27491357
131	58.5334043
132	57.84956911
133	57.44355236
134	56.88125056
135	56.19751507
136	55.4343729
137	55.04410388
138	54.77481743
139	54.63318041
140	54.35706596
141	53.91635247
142	53.42189706
143	53.10152555
144	52.54365188
145	51.96634744
146	51.37027249
147	50.80488214
148	50.23619181
149	49.17714483
150	48.67240826
151	48.21601758
152	47.95493502
153	47.75776953
154	47.31207017
155	46.94893728
156	46.43555623
157	45.80571277
158	45.54175588
159	44.96744881
160	44.38539128
161	43.89531679
162	43.50891091
163	43.10371058
164	42.3516067
165	41.86252096
166	41.62306167
167	41.31462256
168	40.97920379
169	40.78375449
170	40.44951005
171	39.9593059
172	39.76313258
173	39.4250129
174	38.82284997
175	38.36939383
176	37.73035421
177	37.43105337
178	36.65057863
179	36.32511434
180	36.06309338
181	35.82155346
182	35.20263625
183	34.89930654
184	34.37515557
185	34.11114979
186	33.85956813
187	33.63143232
188	33.27955625
189	33.04350841
190	32.54632458
191	32.19412604
192	31.78043985
193	31.52013507
194	31.41728529
195	31.03224449
196	30.85214089
197	30.67602717
198	30.05106659
199	29.83240227
200	29.57791454
201	29.22162934
202	29.03132501
203	28.81670314
204	28.5733971
205	28.38017361
206	28.16265209
207	28.03029527
208	27.71271291
209	27.33389603
210	27.08653895
211	26.64295732
212	26.47486865
213	26.17898888
214	25.78741454
215	25.71855723
216	25.55549639
217	25.49019829
218	25.3686378
219	25.14563128
220	24.93752027
221	24.69672175
222	24.57509586
223	24.42479194
224	24.36917155
225	24.17552978
226	24.01068979
227	23.93876307
228	23.80809636
229	23.68845635
230	23.55108023
231	23.34623767
232	23.28611196
233	23.12647337
234	22.96478982
235	22.87550083
236	22.83437226
237	22.71333576
238	22.53297915
239	22.34571904
240	22.24489489
241	22.02417937
242	21.78019221
243	21.52584302
244	21.33739243
245	21.04627474
246	20.77002549
247	20.74124063
248	20.63039318
249	20.54346998
250	20.44027113
251	20.39965357
252	20.32367281
253	19.98477276
254	19.90297729
255	19.71391665
256	19.48881001
257	19.34823012
258	19.1864795
259	19.06623477
260	18.8518323
261	18.78125788
262	18.72222357
263	18.68012206
264	18.57557873
265	18.53847274
266	18.50894014
267	18.25454658
268	18.14393277
269	18.08838363
270	18.03586774
271	17.88758598
272	17.76354015
273	17.66927268
274	17.57377574
275	17.54095573
276	17.40078829
277	17.32823493
278	17.23198834
279	17.18177357
280	17.05654019
281	16.92740818
282	16.86886813
283	16.66662211
284	16.40341502
285	16.26575429
286	16.22798588
287	15.94775997
288	15.70258785
289	15.60352413
290	15.53380056
291	15.47026419
292	15.18233538
