도로명주소,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율
경상북도 포항시 북구 장량중앙로 17,73070.0,2.51,1.03,2.08208778173191,1.1100715465052284,0.9819373118469984,0.7876923076923077,0.23043656767483237,0.2623511701108526,0.4595045846448611,0.047707677569453946
경상남도 통영시 미우지해안로 107,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
대전광역시 유성구 상대로 40,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073171,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
경기도 남양주시 늘을3로 8,57499.0,2.65,0.95,1.99057412167952,0.9644031451036454,0.9376932941087728,0.6974320803870487,0.23494321640376353,0.2389780691838119,0.4467555957494913,0.07932311866293326
전라북도 익산시 오산면 선화로4길 66,7783.0,2.0,0.98,1.8223684210526316,1.1859375,1.0494092373791621,0.6716417910447762,0.14287549787999487,0.1797507387896698,0.49029937042271615,0.18707439290761918
전라북도 익산시 오산면 선화로4길 24-9,7783.0,2.0,0.98,1.8223684210526316,1.1859375,1.0494092373791621,0.6716417910447762,0.14287549787999487,0.1797507387896698,0.49029937042271615,0.18707439290761918
경기도 성남시 분당구 동판교로 92,21629.666666666668,2.893333333333333,0.9533333333333333,1.965072133637054,0.9110286193270266,0.9362438005742627,0.7841282894736843,0.22993111313165562,0.24594307201528764,0.45725777866818723,0.06686803618486956
대전광역시 유성구 지족로148번길 40,28168.0,2.6,0.9733333333333333,1.9404452690166973,1.008714596949891,0.9441125152011843,0.7318622534269476,0.24172820221527974,0.26185742686736724,0.43511549749124306,0.06129887342611001
강원도 횡성군 횡성읍 앞들서2로 34,20964.0,2.2,1.02,1.8348813209494323,1.120215897939156,1.0952677459526774,0.6599147121535182,0.16380461743941996,0.20611524518221713,0.4815397824842587,0.14854035489410417
광주광역시 남구 백운로 100,8983.0,2.1133333333333333,0.9533333333333335,1.8596491228070173,1.0466726889491116,0.9267106089139988,0.7704691812327505,0.14939329845263274,0.2522171509146907,0.4555642138854874,0.14282533674718914
광주광역시 남구 독립로80번길 8,8983.0,2.1133333333333333,0.9533333333333335,1.8596491228070173,1.0466726889491116,0.9267106089139988,0.7704691812327505,0.14939329845263274,0.2522171509146907,0.4555642138854874,0.14282533674718914
강원도 강릉시 가작로 85,17023.0,2.135,0.975,1.7215116279069766,1.1056245048851334,0.9329442591710339,0.7091435664046338,0.16777301298243552,0.23421253598073194,0.47667861129060685,0.1213358397462257
강원도 강릉시 하평길 55,11676.5,1.955,0.975,1.7295742232451092,1.1751824817518248,0.9501380542471983,0.7190786179268903,0.12191153170898814,0.21693144349762344,0.5141523572988481,0.1470046674945403
강원도 강릉시 강변로 510,28590.0,2.38,0.98,1.908923076923077,1.1056936143441334,0.952121390689452,0.6018254420992584,0.20416229450856943,0.2341378104232249,0.4634837355718783,0.0982161594963274
경상남도 거제시 장평2로 36,20722.0,2.08,1.32,1.8661639962299716,1.6012084592145015,1.3034389750505733,0.7994579945799458,0.18255959849435383,0.290850304024708,0.49454685841135027,0.03204323906958788
충청남도 당진시 석문면 해명1로 200,9700.0,1.67,1.45,2.0530973451327434,2.238249594813614,1.6372549019607843,0.7167167167167167,0.09030927835051547,0.20597938144329897,0.5269072164948454,0.17680412371134022
충청남도 공주시 우금티로 709-12,7940.0,1.89,1.01,1.676923076923077,1.361198738170347,1.048891129032258,0.6548004314994607,0.10629722921914357,0.1885390428211587,0.5119647355163728,0.19319899244332495
부산광역시 기장군 기장읍 차성로397번길 7,52662.0,2.08,0.95,1.8662175168431183,1.1224563299117594,0.9532703213610586,0.6371226718047527,0.14046181307204436,0.22380464091754965,0.4905244768523793,0.14520906915802667
경상남도 김해시 가락로 222,80359.0,2.6,1.0,1.844792514239219,1.1060827759197325,0.9775871034841394,0.5997290890619709,0.21721275774959867,0.25076220460682686,0.47323884070234823,0.05878619694122625
경상남도 김해시 능동로 76,36313.0,2.54,1.01,1.7727639000805802,1.1234807972775886,1.0025992438563327,0.6140912730184147,0.23713270729490815,0.2405750006884587,0.4667749841654504,0.05551730785118277
대전광역시 서구 관저로 84,33120.0,2.515,0.935,2.0593242883745675,0.9781862250050495,0.916257520226817,0.6416382252559727,0.22785326086956523,0.2957125603864734,0.4183423913043478,0.058091787439613525
대전광역시 서구 관저동로 42,33120.0,2.515,0.935,2.0593242883745675,0.9781862250050495,0.916257520226817,0.6416382252559727,0.22785326086956523,0.2957125603864734,0.4183423913043478,0.058091787439613525
대전광역시 서구 월평북로 13,15925.333333333334,2.1466666666666665,1.01,1.8365019011406842,1.1530612244897962,0.943268563497571,0.6431199411331862,0.15497320830542533,0.28265237776289354,0.4688965170797053,0.09347789685197587
대전광역시 중구 보문산로161번길 55,17700.5,2.33,0.94,1.8,1.0292117854444724,0.9203560552822675,0.6853146853146853,0.17988192423942825,0.2276206886811107,0.46315075845315107,0.12934662862631
대전광역시 유성구 반석로 46,31207.0,2.645,0.97,1.9841755997958141,0.9993792675356921,0.9408418657565415,0.7363844393592678,0.24383952318390104,0.25803505623738265,0.43733777678085045,0.060787643797865866
대전광역시 대덕구 계족로663번길 34,14735.5,2.2750000000000004,0.9299999999999999,1.7560192616372392,1.1939601494396015,0.8950561507680392,0.58271719038817,0.14651691493332428,0.23911641953106444,0.49815072444097586,0.1162159410946354
대전광역시 동구 산내로 1352-25,20849.0,2.45,1.01,1.860282574568289,1.0892945239269858,1.0296967144060658,0.6911966987620357,0.21670104081730537,0.20312724830927142,0.4622284042400115,0.11794330663341167
대전광역시 중구 대전천서로 695,12978.0,2.09,0.95,1.7007299270072993,1.1507159005275056,0.9416036308623298,0.6524390243902439,0.13946678995222683,0.2199106179688704,0.4944521497919556,0.14617044228694714
대전광역시 동구 대전로542번길 78,24779.0,2.59,0.97,1.8623507228158391,1.0471662228984404,0.9542709232096636,0.7083641746854182,0.2326163283425481,0.21720004842810445,0.4570402356834416,0.0931433875459058
대전광역시 동구 옥천로 152-9,10515.0,1.875,0.96,1.9333333333333333,1.2253521126760563,0.9828251640293323,0.6142625607779578,0.11160247265810747,0.2103661436043747,0.48858773181169757,0.18944365192582024
대전광역시 동구 동부로 56-7,10515.0,1.875,0.96,1.9333333333333333,1.2253521126760563,0.9828251640293323,0.6142625607779578,0.11160247265810747,0.2103661436043747,0.48858773181169757,0.18944365192582024
강원도 동해시 동굴로 15,30441.0,2.26,0.99,1.8518057285180574,1.233204134366925,0.9392345126923582,0.7283511269276394,0.19279918530928683,0.22712788673171053,0.48434676916001446,0.0957261587989882
경상남도 창원시 마산회원구 내서읍 삼계2길 24,63921.0,2.56,1.01,1.7654091392136027,1.1471199524940618,0.9933190470187823,0.6778145695364238,0.19969962922983056,0.22626366921668936,0.4947669779884545,0.07926972356502558
경상남도 창원시 마산회원구 내서읍 상곡로 49,63921.0,2.56,1.01,1.7654091392136027,1.1471199524940618,0.9933190470187823,0.6778145695364238,0.19969962922983056,0.22626366921668936,0.4947669779884545,0.07926972356502558
경상남도 밀양시 중앙로 47,7888.0,1.91,0.87,1.5741935483870968,1.1123919308357348,0.9327111984282908,0.49554013875123887,0.12398580121703853,0.18585192697768763,0.49885902636916835,0.19130324543610547
경상남도 밀양시 미리벌중앙로 35,18149.0,2.26,0.95,1.9828510182207932,1.1291816778178074,0.9181155356141335,0.5893984013462348,0.19687035098352526,0.22794644333021102,0.47110033610667257,0.10408286957959116
충청남도 보령시 한내로터리길 92,16450.0,2.22,1.01,1.9132762312633833,1.141158221302999,1.0056864337936637,0.64075382803298,0.2133130699088146,0.2517325227963526,0.450273556231003,0.08468085106382979
충청남도 보령시 주공로 50,15745.0,2.3,0.99,1.9707259953161593,1.1638185032410135,0.9827302631578947,0.6323060573857598,0.20984439504604635,0.23321689425214354,0.4593839314067958,0.09755477929501429
부산광역시 북구 효열로 268,38404.0,2.11,0.94,1.785665529010239,1.1634437086092715,0.952029892950919,0.595517901065865,0.1320174981772732,0.21266013956879493,0.5033069471930007,0.15201541506093116
부산광역시 북구 금곡대로616번길 10-9,38404.0,2.11,0.94,1.785665529010239,1.1634437086092715,0.952029892950919,0.595517901065865,0.1320174981772732,0.21266013956879493,0.5033069471930007,0.15201541506093116
부산광역시 북구 효열로 76,38404.0,2.11,0.94,1.785665529010239,1.1634437086092715,0.952029892950919,0.595517901065865,0.1320174981772732,0.21266013956879493,0.5033069471930007,0.15201541506093116
부산광역시 북구 금곡대로550번길 23,38404.0,2.11,0.94,1.785665529010239,1.1634437086092715,0.952029892950919,0.595517901065865,0.1320174981772732,0.21266013956879493,0.5033069471930007,0.15201541506093116
부산광역시 영도구 상리로 1,13806.333333333334,1.9066666666666665,1.01,1.6992046276211135,1.213248407643312,0.9870949240034413,0.6711009174311927,0.11248460851300128,0.2097346628358966,0.5018711219488641,0.1759096067022381
부산광역시 영도구 동삼북로 2,13806.333333333334,1.9066666666666665,1.01,1.6992046276211135,1.213248407643312,0.9870949240034413,0.6711009174311927,0.11248460851300128,0.2097346628358966,0.5018711219488641,0.1759096067022381
부산광역시 북구 덕천로 74,11561.333333333334,1.87,0.9733333333333333,1.9185185185185185,1.2007113821138211,0.9674778512952787,0.6713286713286714,0.08594741090992965,0.24974051435820546,0.5058240110713873,0.15848806366047746
부산광역시 북구 함박봉로140번길 21,20524.666666666668,2.4633333333333334,0.9566666666666667,2.1912766924125395,1.069850039463299,0.9101921735269866,0.8012983347445669,0.15167115990515476,0.2555461720856205,0.4891350245233377,0.10364764348588688
부산광역시 사상구 모라로110번길 121,19510.0,1.9249999999999998,0.9550000000000001,1.8560344827586206,1.2002590673575129,0.9958044687286565,0.6379888268156425,0.10784213223987699,0.21765761148129165,0.524218349564326,0.1502819067145054
부산광역시 해운대구 신반송로 200,18839.0,1.87,0.98,1.6856600189933524,1.3003614853762735,1.022107438016529,0.6174242424242424,0.0907160677318329,0.18578480811083392,0.5195074048516376,0.20399171930569562
부산광역시 북구 화명신도시로 255,38404.0,2.11,0.94,1.785665529010239,1.1634437086092715,0.952029892950919,0.595517901065865,0.1320174981772732,0.21266013956879493,0.5033069471930007,0.15201541506093116
충청남도 부여군 부여읍 성왕로328번길 15,19868.0,2.04,0.99,1.7712264150943395,1.2896725440806045,0.9951030401958784,0.6799444187123669,0.14228910811354942,0.18300785182202536,0.49214817797463256,0.18255486208979263
경상남도 사천시 주공1길 50,15428.0,2.12,0.95,1.6749688667496887,1.197003745318352,0.9458312531203196,0.598310291858679,0.1697562872698989,0.19010889292196007,0.5052501944516463,0.13488462535649468
제주특별자치도 서귀포시 태평로512번길 9,13624.5,2.25,1.04,1.7480503899220157,1.0647382920110193,0.9817130353235386,0.6874265569917744,0.20925538551873463,0.22004477228522148,0.4653014789533561,0.10539836324268781
충청남도 서산시 석림4로 83,15906.0,2.2,1.02,1.5695825049701788,1.3104886769964244,1.027370203160271,0.6568730325288562,0.20526845215641895,0.2437444989312209,0.45171633345907203,0.09927071545328807
강원도 속초시 먹거리길 17,15626.0,2.0300000000000002,0.975,1.7146757679180888,1.2452579034941764,0.9732694489976044,0.629292511377741,0.15733393062843978,0.2158901830282862,0.5007679508511456,0.1260079354921285
울산광역시 울주군 삼남읍 봉화마을길 9,22159.0,2.02,1.07,2.14850136239782,1.293274970155193,1.032693018101219,0.7310195227765727,0.13524978564014623,0.26007491312784875,0.49663793492486125,0.10803736630714382
울산광역시 북구 화산로 36,36060.0,2.66,1.04,2.3539772727272728,1.1119388729703916,1.0137092602172788,0.7093712930011863,0.2216583471991126,0.30660011092623407,0.4317803660565724,0.03996117581808098
강원도 원주시 문막읍 원문로 1684,17665.0,2.05,1.05,1.7320512820512821,1.2474837181764358,1.0961629559450496,0.6847041847041847,0.15193886215680724,0.21488819699971695,0.5009906594961789,0.13218228134729693
부산광역시 기장군 정관읍 정관4로 23,81775.0,2.6,0.98,2.240565124830656,0.9417340117729223,0.9876457282060205,0.7562599049128368,0.27518190155915623,0.2379944970956894,0.4190645062671966,0.06775909507795781
제주특별자치도 제주시 인다12길 2,38359.0,2.39,0.98,1.931847406772396,0.9749313186813187,1.034392228931478,0.6581071166544388,0.2372063922417164,0.29985140384264447,0.404025130999244,0.058917072916395107
제주특별자치도 제주시 진군1길 3,55385.0,2.4,0.96,1.8886002886002886,1.0225266763272296,0.9012326415977532,0.6718913270637409,0.22500677078631398,0.2772050194095874,0.44001083325810236,0.057777376545996205
제주특별자치도 제주시 동화로1길 35,24300.0,2.51,0.99,2.063721940622737,1.069050122677883,0.9737556561085973,0.6020015396458814,0.22267489711934157,0.2429218106995885,0.4487654320987654,0.08563786008230452
경상남도 진주시 가호로 26,27253.0,2.05,1.02,2.09362389023406,1.2440963292027123,0.9111969111969112,0.5690987124463519,0.1811543683264228,0.35218141122078306,0.39958903606942353,0.06707518438337064
경상남도 진주시 진양호로125번길 6,24288.0,2.555,0.915,1.6847383265434033,1.0368203716448727,0.8844008788237282,0.5620777027027027,0.2210762516469038,0.2437005928853755,0.4590744400527009,0.07614871541501976
경상남도 창원시 진해구 진해대로901번길 11,13389.666666666666,2.236666666666667,1.03,2.1214361140443505,1.1855283476726228,0.990482233502538,0.6584930896121265,0.19218800567601882,0.24663297567776143,0.4685702905225423,0.09260872812367747
경상남도 창녕군 창녕읍 말흘5길 33,16858.0,2.12,0.98,1.9022457067371201,1.1723496590204587,1.0268886043533931,0.6137339055793991,0.16650848261952783,0.2078538379404437,0.4695100249139874,0.15612765452604105
충청남도 천안시 서북구 백석3로 70,40542.0,2.82,1.01,2.1028655400440854,1.0074740954645829,1.0220946198976408,0.6469879518072289,0.27522075871935275,0.2915001726604509,0.39956094913916435,0.03371811948103202
충청남도 천안시 서북구 쌍용대로 289-28,21296.0,1.655,1.1400000000000001,1.7825719120135364,1.2579914757591901,1.1828975773566803,0.6887417218543046,0.09680221637866265,0.398032494365139,0.4273337716003005,0.07783151765589783
충청남도 천안시 서북구 쌍용11길 57,23441.666666666668,2.3833333333333333,0.9500000000000001,1.788279301745636,1.0584435558289758,0.9108464176141491,0.6011925640126273,0.1979381443298969,0.2854745822964806,0.45167436900106644,0.064912904372556
충청남도 청양군 청양읍 고리섬들길 53,9915.0,1.97,1.02,1.665979381443299,1.2252922422954304,1.0580969807868252,0.7176938369781312,0.16076651538073625,0.21119515885022694,0.45375693393847705,0.17428139183055977
강원도 춘천시 후석로228번길 47,15898.0,2.1799999999999997,0.9366666666666666,1.9286761113825108,1.0658126501200957,0.9135154695132983,0.6271700192890604,0.16220069610433177,0.27049524049146645,0.44349394053759383,0.12381012286660795
강원도 태백시 삼방길 40,2002.0,1.62,1.09,1.6842105263157894,1.577319587628866,1.2074235807860263,0.7771428571428571,0.05944055944055944,0.12487512487512488,0.504995004995005,0.3106893106893107
경상남도 통영시 발개로 153,10214.0,1.91,1.06,1.578125,1.350253807106599,1.1164249313994512,0.6770053475935829,0.13657724691599765,0.1813197571960055,0.5285882122576855,0.15351478363031135
충청남도 홍성군 홍성읍 문화로72번길 72,37846.0,2.12,0.98,1.6509708737864077,1.1696826645685812,0.9803166923246096,0.6802999318336742,0.1752893304444327,0.21859641705860594,0.47584949532315174,0.13026475717380964
제주특별자치도 제주시 화삼북로2길 12,24300.0,2.51,0.99,2.063721940622737,1.069050122677883,0.9737556561085973,0.6020015396458814,0.22267489711934157,0.2429218106995885,0.4487654320987654,0.08563786008230452
충청북도 제천시 청풍호로10길 18,15292.0,2.16,1.02,2.2304283604135895,1.1044431621465667,1.0776463451622686,0.710377358490566,0.19500392362019356,0.23849071409887523,0.4479466387653675,0.1185587235155637
전라남도 여수시 소라면 덕양로 97-9,20408.0,2.3,1.04,2.107142857142857,1.1387494294842537,1.0896720945795226,0.6561351947097722,0.2009016072128577,0.2296158369266954,0.4590356722853783,0.1104468835750686
전라남도 여수시 소라면 죽림로 38,20408.0,2.3,1.04,2.107142857142857,1.1387494294842537,1.0896720945795226,0.6561351947097722,0.2009016072128577,0.2296158369266954,0.4590356722853783,0.1104468835750686
충청북도 음성군 맹동면 대동로 26,12978.0,2.2,1.13,2.579847908745247,1.135386403253922,1.247987117552335,0.7288135593220338,0.2001078748651564,0.28317152103559873,0.4302666050238866,0.08645399907535829
경상북도 고령군 다산면 평리6길 30,8379.0,2.04,1.08,1.7768361581920904,1.2554179566563468,1.1761477045908184,0.7010050251256281,0.14405060269721923,0.17388709869912877,0.52046783625731,0.16159446234634203
전라북도 순창군 풍산면 풍산로 499,1706.0,1.74,1.0,1.6511627906976745,1.6619718309859155,1.2916666666666667,0.6096256684491979,0.08499413833528723,0.11078546307151231,0.451348182883939,0.3528722157092614
경기도 부천시 양지로 20,95543.0,2.56,0.96,2.0290909090909093,1.0020743577469284,0.9608019016011122,0.7193396226415094,0.1958280564771883,0.262646138387951,0.45759500957683974,0.08393079555802099
전라북도 남원시 가방뜰길 57,6632.0,2.12,0.94,1.6454081632653061,1.095890410958904,0.996757457846952,0.5984496124031008,0.1957177322074789,0.18455971049457176,0.46426417370325695,0.1554583835946924
강원도 원주시 무실로 300,32936.0,2.34,0.96,1.920375865479723,1.0357739088957787,0.9005335365853658,0.6801007556675063,0.22583191644401263,0.25916929803254796,0.4542445955793053,0.06075418994413408
경상남도 사천시 용현면 진삼로 580,7526.0,2.03,1.0,2.1700680272108843,1.173044925124792,1.0949656750572083,0.650571791613723,0.16728673930374702,0.17353175657719905,0.4865798564974754,0.17260164762157854
충청북도 진천군 진천읍 문화로 237-19,30130.0,2.11,1.06,1.7552533992583437,1.2581163612986177,1.0757642240748866,0.670388349514563,0.18161301028874877,0.23315632260205774,0.47102555592432793,0.11420511118486558
부산광역시 강서구 과학산단2로20번길 35,34231.0,2.12,1.16,2.998348472336912,1.268699276157052,1.2020020917376364,0.7196620583717358,0.2018930209459262,0.30215301919312904,0.4305454120534019,0.06540854780754288
광주광역시 북구 첨단연신로 250,30052.0,2.55,0.98,2.314054054054054,0.9914173045697054,0.9618877716509893,0.6037735849056604,0.2750232929588713,0.28567150272860375,0.40253560495141755,0.036769599361107415
광주광역시 북구 첨단연신로 245,30052.0,2.55,0.98,2.314054054054054,0.9914173045697054,0.9618877716509893,0.6037735849056604,0.2750232929588713,0.28567150272860375,0.40253560495141755,0.036769599361107415
경상남도 양산시 동면 금산2길 12,35086.0,2.44,1.03,2.743859649122807,1.0654761904761905,1.0352585186159715,0.8139214334941419,0.21703813486860857,0.26702958444963804,0.44091660491364076,0.07501567576811263
경상북도 구미시 옥계북로 43-52,46540.0,2.5,1.09,2.127932436659368,1.1476510067114094,1.1125598086124402,0.543424317617866,0.2843790287924366,0.3094112591319295,0.3794800171895144,0.026729694886119468
전라남도 무안군 무안읍 공항로 75-9,10782.0,2.01,1.0,1.8030018761726079,1.2155511811023623,1.0224989955805543,0.6236559139784946,0.17028380634390652,0.2087738823965869,0.46688925987757374,0.15405305138193284
경기도 용인시 수지구 광교마을로 90,41112.5,2.81,0.935,1.8132494594063298,0.9264570693142121,0.9275551921504497,0.8097941802696949,0.22204925509273335,0.25486166007905137,0.43005168744299177,0.09303739738522347
강원도 강릉시 강변로 94,16592.0,2.15,0.99,2.0093959731543625,1.1027176416397972,0.9789501731947775,0.6891348088531187,0.1760486981677917,0.27513259402121504,0.44762536162005784,0.1011933461909354
경상남도 거창군 거창읍 소만2길 62,40926.0,2.19,0.98,1.9289785181937746,1.2164066431806744,0.9480560200668896,0.5832074901842343,0.20126569906660802,0.21521771001319454,0.4554317548746518,0.12808483604554563
경상북도 경산시 백자로10길 57,38839.0,2.28,1.0,2.0036082474226804,1.1337270618013078,0.9569180683667933,0.650887573964497,0.18903679291433867,0.2604598470609439,0.4643013465846186,0.08620201344009887
경상북도 경산시 솔숲길 100,38839.0,2.28,1.0,2.0036082474226804,1.1337270618013078,0.9569180683667933,0.650887573964497,0.18903679291433867,0.2604598470609439,0.4643013465846186,0.08620201344009887
경상북도 경산시 진량읍 금호강변로 830-3,35861.0,2.13,1.09,1.722754491017964,1.3435988801221685,1.1140702906481819,0.6484268125854993,0.15766431499400463,0.25676919215861244,0.4847606034410641,0.10080588940631884
경상북도 고령군 다산면 상곡길 28,8379.0,2.04,1.08,1.7768361581920904,1.2554179566563468,1.1761477045908184,0.7010050251256281,0.14405060269721923,0.17388709869912877,0.52046783625731,0.16159446234634203
경상남도 고성군 고성읍 동외로47번길 12,24207.0,2.14,1.01,1.9882451721242653,1.2265741199801685,1.0276537272414978,0.6058661778185152,0.1820547775436857,0.18552484818440948,0.4876688561159995,0.1447515181559053
전라북도 고창군 고창읍 성산로 19,21189.0,2.21,0.99,2.0253164556962027,1.1200391964723175,0.9758707511540076,0.650871459694989,0.20831563547123508,0.2042097314644391,0.4444287130114682,0.14304592005285763
부산광역시 기장군 철마면 고촌로44번길 16,7958.0,2.06,1.02,1.7990654205607477,1.3576388888888888,1.0350877192982457,0.8054945054945055,0.09814023624026137,0.17064589092736868,0.5247549635586831,0.20645890927368685
경기도 광명시 소하로 161,41315.0,2.58,0.98,1.9090505767524402,1.0298854688618468,0.9858884924649874,0.7088791848617176,0.20308604623018275,0.2745491952075517,0.4513251845576667,0.07103957400459882
전라남도 광양시 진등6길 31,57510.0,2.5,1.11,1.9615710652726759,1.2459016393442623,1.114853626081171,0.6356720202874049,0.2359415753781951,0.288245522517823,0.4421665797252652,0.033646322378716745
광주광역시 서구 하남대로710번길 5,16229.0,2.57,0.9,1.6394671107410492,0.9916573971078977,0.8645935357492655,0.6268656716417911,0.24296013309507672,0.22065438412717975,0.46922176350976647,0.06716371926797708
광주광역시 남구 효우로60번길 50,45638.0,2.43,0.89,1.5678475935828877,0.9643039265680775,0.8589958939902949,0.7532517214996175,0.20986896884175468,0.2532100442613611,0.43650028485034403,0.10042070204654016
광주광역시 남구 효우로60번길 37,45638.0,2.43,0.89,1.5678475935828877,0.9643039265680775,0.8589958939902949,0.7532517214996175,0.20986896884175468,0.2532100442613611,0.43650028485034403,0.10042070204654016
광주광역시 남구 효우로60번길 10,45638.0,2.43,0.89,1.5678475935828877,0.9643039265680775,0.8589958939902949,0.7532517214996175,0.20986896884175468,0.2532100442613611,0.43650028485034403,0.10042070204654016
광주광역시 광산구 수등로123번길 22,42485.666666666664,2.6566666666666667,0.9933333333333333,1.7684021543985637,0.9935325468590935,0.9893805309734514,0.5792284866468844,0.27376291612073095,0.261186125516841,0.4232956997261822,0.041755258636245955
광주광역시 광산구 풍영로145번길 42,51326.5,2.6449999999999996,1.02,1.806910569105691,0.9931455818804947,1.007790501220199,0.6059160305343512,0.28984053071999843,0.260606119645797,0.41676327043535016,0.03279007919885439
광주광역시 북구 연양로7번길 58,30052.0,2.55,0.98,2.314054054054054,0.9914173045697054,0.9618877716509893,0.6037735849056604,0.2750232929588713,0.28567150272860375,0.40253560495141755,0.036769599361107415
광주광역시 북구 양산제로 110,37886.0,2.34,1.01,2.0490827962320277,1.1077959576515881,0.9891237932298668,0.6670822942643392,0.21076387055904555,0.28902496964577945,0.42963099825793166,0.07058016153724331
광주광역시 북구 하서로483번길 22,22458.0,2.43,1.02,2.156957928802589,1.0764331210191083,1.0475572849113706,0.6314720812182741,0.2308754118799537,0.27580372250423013,0.42176507257992696,0.07155579303588921
광주광역시 북구 매곡로 20,38493.0,2.2,0.99,1.8767045454545455,1.1347150259067358,0.9308877644894205,0.7383273473576193,0.16538071857220793,0.3103940976281402,0.43620918089003197,0.08801600290961993
광주광역시 북구 유림로160번길 5,23570.0,2.4,0.97,2.1956726246472247,1.0620300751879699,0.9140271493212669,0.7602862254025045,0.18858718710224862,0.2792532880780653,0.44866355536699193,0.08349596945269411
전라북도 군산시 미원로 61,5581.0,1.92,0.95,1.3859649122807018,1.3529411764705883,1.0166793025018954,0.6599552572706935,0.0854685540225766,0.17201218419638056,0.4766170937108045,0.2659021680702383
충청남도 금산군 금산읍 비단로 338,22543.0,2.2,0.96,1.6997497914929107,1.1415929203539823,1.0127484064491938,0.6435955056179775,0.1790356208135563,0.1824956749323515,0.4762453976844253,0.16222330656966685
