지번주소;도로명주소;건물명;폐지여부
경기도 광명시 소하동 1391;경기도 광명시 서원로 25;광명역세권휴먼시아;존재
경기도 광명시 소하동 1373;경기도 광명시 성채안로 26;광명역세권휴먼시아;존재
부산광역시 동래구 안락동 1256;부산광역시 동래구 충렬대로447번길 38;부산안락4 휴먼시아;존재
전라북도 익산시 오산면 장신리 1126;전라북도 익산시 오산면 선화로4길 14;장신휴먼시아3단지;존재
경기도 성남시 분당구 삼평동 728;경기도 성남시 분당구 동판교로 212;봇들마을6단지아파트;존재
경기도 성남시 분당구 백현동 553;경기도 성남시 분당구 동판교로 91;백현마을4단지;존재
전라북도 군산시 미장동 476;전라북도 군산시 경포천로 34;군산미장휴먼시아;존재
전라북도 김제시 교동 399;전라북도 김제시 교정길 36;김제교동휴먼시아;존재
경상남도 거제시 일운면 소동리 341;경상남도 거제시 일운면 거제대로 2591;일운주공아파트;존재
경상남도 남해군 남해읍 평리 1700;경상남도 남해군 남해읍 스포츠로 20;평리휴먼시아아파트;존재
충청남도 논산시 대교동 330;충청남도 논산시 대화로 143;휴먼시아아파트;존재
대전광역시 서구 월평동 218;대전광역시 서구 월평북로 11;주공아파트;존재
대전광역시 동구 삼성동 482;대전광역시 동구 우암로 133;주공삼성타운아파트;존재
부산광역시 부산진구 당감동 797;부산광역시 부산진구 백양산로53번길 125;;존재
부산광역시 사상구 모라동 75;부산광역시 사상구 모라로192번길 20-21;모라주공아파트3단지;존재
부산광역시 해운대구 좌동 1276;부산광역시 해운대구 대천로67번길 4;해운대주공아파트;존재
제주특별자치도 서귀포시 동홍동 1312;제주특별자치도 서귀포시 중앙로 198-9;동홍6주공아파트;존재
강원도 속초시 조양동 1567;강원도 속초시 소평로 112;속초청대주공아파트;존재
충청남도 아산시 읍내동 206;충청남도 아산시 외암로 1420;주공아파트;존재
경상남도 양산시 상북면 대석리 808;경상남도 양산시 상북면 양산대로 1360;양산대석휴먼시아;존재
울산광역시 남구 달동 119-1;울산광역시 남구 번영로107번길 5;달동주공아파트;존재
울산광역시 북구 명촌동 758-5;울산광역시 북구 명촌로 94;울산명촌주공아파트;존재
울산광역시 북구 호계동 264;울산광역시 북구 동대12길 30;호계1단지주공아파트;존재
울산광역시 북구 호계동 263-1;울산광역시 북구 동대11길 36;호계2단지주공아파트;존재
울산광역시 북구 화봉동 1338;울산광역시 북구 화산로 33;화봉1주공아파트;존재
울산광역시 동구 화정동 862-2;울산광역시 동구 월봉10길 16;화정주공임대아파트;존재
강원도 원주시 명륜동 705;강원도 원주시 예술관길 31;명륜2단지아파트;존재
강원도 원주시 무실동 1649;강원도 원주시 시청로 68;원주무실1단지아파트;존재
강원도 원주시 무실동 1713;강원도 원주시 만대로 96;원주무실5주공아파트;존재
강원도 원주시 태장동 2719-1;강원도 원주시 흥양로51번길 20;원주태장4주공아파트;존재
부산광역시 기장군 정관읍 모전리 768;부산광역시 기장군 정관읍 정관2로 24;정관신도시 휴먼시아2단지;존재
제주특별자치도 제주시 애월읍 고성리 1488-1;제주특별자치도 제주시 애월읍 고성서3길 15-5;제주고성휴먼시아;존재
제주특별자치도 제주시 노형동 2582-4;제주특별자치도 제주시 정존11길 54;정든마을1단지;존재
충청남도 천안시 서북구 쌍용동 1920;충청남도 천안시 서북구 봉서산샛길 64;쌍용마을뜨란채아파트;존재
강원도 춘천시 효자동 333;강원도 춘천시 공지로 234-16;효자주공8단지아파트;존재
