지번주소;도로명주소;건물명;폐지여부
경기도 부천시 옥길동 701-1;경기도 부천시 양지로 134;부천옥길엘에이치1단지;존재
경상북도 상주시 함창읍 구향리 608;경상북도 상주시 함창읍 함령길 138;상주함창엘에이치천년나무1단지;존재
전라남도 담양군 담양읍 백동리 730;전라남도 담양군 담양읍 미리산길 46;담양백동엘에이치2단지;존재
충청북도 충주시 안림동 1172;충청북도 충주시 월촌5길 12;충주안림엘에이치천년나무2단지;존재
제주특별자치도 서귀포시 강정동 192;제주특별자치도 서귀포시 대청로25번길 9;서귀포강정엘에이치아파트;존재
경기도 안성시 아양동 416;경기도 안성시 아양로 52;아양LH1단지아파트;존재
경상북도 김천시 율곡동 11;경상북도 김천시 해오름1로 17;경북김천혁신엘에이치천년나무4단지;존재
경기도 성남시 수정구 창곡동 510;경기도 성남시 수정구 위례광장로 311;위례35단지;존재
경기도 남양주시 별내동 1048;경기도 남양주시 별내4로 25;미리내마을 4-2단지;존재
경기도 남양주시 별내동 556-10;경기도 남양주시 별내4로 7;미리내마을 4-3단지;존재
대구광역시 동구 사복동 851;대구광역시 동구 메디밸리로 18;대구신서혁신LH천년나무10단지;존재
경상남도 김해시 진영읍 여래리 973;경상남도 김해시 진영읍 김해대로 463;진영휴먼시아6단지;존재
경상남도 진주시 충무공동 306;경상남도 진주시 에나로228번길 10;혁신도시엔에이치에프10단지;존재
부산광역시 기장군 정관읍 모전리 681;부산광역시 기장군 정관읍 모전로 41;정관신도시 엘에이치 7단지 아파트;존재
충청북도 충주시 대소원면 본리 668;충청북도 충주시 대소원면 첨단쉼터8길 19;충주첨단행복주택;존재
경기도 양주시 옥정동 1032;경기도 양주시 옥정동로 258;옥정천년나무8단지;존재
경기도 양주시 옥정동 1047;경기도 양주시 회천남로 115;옥정천년나무16단지;존재
강원도 강릉시 홍제동 1043;강원도 강릉시 선수촌로 36;엘에이치미디어촌7단지;존재
강원도 원주시 태장동 131;강원도 원주시 치악로 2050;원주태장LH 천년나무 5단지;존재
대전광역시 동구 신흥동 262;대전광역시 동구 동대전로46번길 120;이스트시티2단지;존재
경상남도 창원시 진해구 자은동 133;경상남도 창원시 진해구 냉천로 192;창원 자은3 LH천년나무;존재
경기도 성남시 중원구 성남동 4700;경기도 성남시 중원구 둔촌대로63번길 11;성남여수엘에이치1단지;존재
광주광역시 남구 행암동 713;광주광역시 남구 행암길 9;효천LH천년나무7단지;존재
경상남도 진주시 충무공동 219;경상남도 진주시 대밭골로 91;혁신도시엘에이치아파트3단지;존재
세종특별자치시 대평동 700;세종특별자치시 대평로 56;해들마을 5단지;존재
경기도 성남시 수정구 창곡동 500;경기도 성남시 수정구 위례순환로 17;위례31단지;존재
경상남도 창원시 의창구 대산면 제동리 825;경상남도 창원시 의창구 대산면 주남로 514;엔에이치에프 창원대산 1단지;존재
경상남도 창원시 진해구 자은동 108;경상남도 창원시 진해구 냉천로 189;센트럴 빌리지;존재
경기도 군포시 도마교동 479;경기도 군포시 송부로96번길 30;숲속반디채;존재
대구광역시 달서구 대곡동 1103;대구광역시 달서구 갈밭남로 17;대구대곡수목원호정포레스트;존재
경기도 양주시 옥정동 1084;경기도 양주시 옥정동로 106;금호건설제이드웰엔에이치에프;존재
경기도 양주시 옥정동 1085;경기도 양주시 옥정동로 104;지에스건설제이드웰엔에이치에프;존재
강원도 춘천시 동내면 거두리 1135;강원도 춘천시 동내면 거두택지길 70;춘천거두2지구행복주택;존재
부산광역시 강서구 명지동 3325;부산광역시 강서구 명지국제5로 165;스위트팰리스;존재
전라남도 목포시 연산동 1944-1;전라남도 목포시 연산백련로1번길 51;포미타운엘에이치6단지;존재
서울특별시 구로구 오류동 64-28;서울특별시 구로구 경인로20가길 68;오류동행복주택;존재
대구광역시 달성군 현풍읍 중리 481;대구광역시 달성군 현풍읍 테크노북로4길 27;대구테크노폴리스엘에이치천년나무3단지;존재
전라북도 익산시 인화동2가 174;전라북도 익산시 목천로 320;;존재
전라남도 순천시 서면 선평리 1092;전라남도 순천시 서면 선평동선길 36;선평빛찬들아파트;존재
경상남도 하동군 하동읍 읍내리 1565;경상남도 하동군 하동읍 군청로 24;하동읍내엘에이치천년나무아파트;존재
경기도 부천시 옥길동 786;경기도 부천시 양지로 151;부천옥길엘에이치8단지;존재
울산광역시 남구 야음동 370-6;울산광역시 남구 여천로12번길 50;;존재
전라북도 전주시 덕진구 반월동 1236;전라북도 전주시 덕진구 혁신로 665;전주반월2엘에이치아파트;존재
제주특별자치도 제주시 봉개동 1894;제주특별자치도 제주시 번영로 528;제주봉개엘에이치아파트;존재
전라남도 여수시 수정동 167-1;전라남도 여수시 이순신광장로 260;;존재
울산광역시 울주군 웅촌면 곡천리 840;울산광역시 울주군 웅촌면 곡천검단로 159;울산웅촌엘에이치아파트;존재
세종특별자치시 다정동 920;세종특별자치시 다정북로 183;가온마을9단지;존재
대구광역시 달성군 옥포읍 교항리 3008;대구광역시 달성군 옥포읍 금계길 12;대구옥포르상트레빌;존재
강원도 양양군 강현면 강선리 977;강원도 양양군 강현면 물치천로 70-17;양양물치강선엘에이치천년나무;존재
전라북도 전주시 완산구 효자동2가 1382;전라북도 전주시 완산구 효천중앙로 50;리버클래스;존재
울산광역시 북구 송정동 1236-3;울산광역시 북구 화산로 140;송정하우스디;존재
경기도 양주시 옥정동 943;경기도 양주시 옥정서로 254;양주옥정3단지;존재
경상북도 김천시 삼락동 1296;경상북도 김천시 물망골길 71;김천삼락엘에이치아파트;존재
경상남도 진주시 문산읍 삼곡리 1139-1;경상남도 진주시 문산읍 월아산로 1047-14;진주문산엘에이치아파트;존재
경기도 부천시 중동 814;경기도 부천시 중동로 88;중동행복주택;존재
제주특별자치도 서귀포시 서호동 1615-3;제주특별자치도 서귀포시 서호중앙로 56-13;제주서귀포혁신도시엘에이치3단지;존재
경기도 남양주시 별내동 806;경기도 남양주시 덕송3로 30;별가람마을1-2단지;존재
대전광역시 유성구 봉산동 302;대전광역시 유성구 와룡로136번길 97;;존재
경상남도 김해시 장유동 899;경상남도 김해시 율하5로 14;김해율하2엘에이치아파트3단지;존재
경기도 성남시 수정구 고등동 578;경기도 성남시 수정구 고등로 57;고등마을;존재
충청북도 청주시 상당구 용암동 2943-100;충청북도 청주시 상당구 동남로 187;청주동남파밀리에NHF4단지;존재
강원도 원주시 태장동 700-40;강원도 원주시 치악로 1989;원주태장LH 천년나무6단지;존재
광주광역시 광산구 쌍암동 657-4;광주광역시 광산구 첨단중앙로152번길 6-8;광주첨단 LH 1단지;존재
광주광역시 광산구 쌍암동 683-2;광주광역시 광산구 임방울대로825번길 9;광주첨단  LH 2단지;존재
광주광역시 남구 임암동 731;광주광역시 남구 효천중앙로 35;광주효천1LH3단지아파트;존재
경기도 양주시 광사동 717;경기도 양주시 고읍남로 94;양주고읍 LH13단지 아파트;존재
경기도 평택시 고덕면 여염리 4572-1;경기도 평택시 고덕면 고덕여염로 20;평택고덕엘에이치17단지;존재
충청북도 청주시 상당구 용암동 2944-41;충청북도 청주시 상당구 월운로 146;청주동남 LH행복주택;존재
울산광역시 북구 화봉동 1486;울산광역시 북구 박상진2로 82;울산송정 LH2단지;존재
전라남도 고흥군 고흥읍 등암리 1680;전라남도 고흥군 고흥읍 터미널길 17-35;고흥남계엘에이치1단지;존재
대구광역시 동구 지묘동 1316;대구광역시 동구 연경지묘로 153;대구연경엘에이치천년나무2단지;존재
충청북도 청주시 상당구 용암동 2942-73;충청북도 청주시 상당구 호미로 137;청주동남1단지;존재
경기도 의왕시 고천동 61-6;경기도 의왕시 행복마을3로 18;오봉산마을 1단지;존재
제주특별자치도 서귀포시 서홍동 355-1;제주특별자치도 서귀포시 장수로 115;서귀포서홍 행복주택;존재
강원도 춘천시 우두동 1088;강원도 춘천시 우두1길 40;춘천우두엘에이치천년나무3단지;존재
부산광역시 남구 용호동 376-9;부산광역시 남구 동명로 183;;존재
충청북도 제천시 고암동 1273;충청북도 제천시 용두천로40길 28;;존재
강원도 평창군 진부면 하진부리 115;강원도 평창군 진부면 경강로 3587;평창하진부주공아파트;존재
