관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소,juso,행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명,생성일자,행정기관,총인구수,세대당_인구,남자_인구수,여자_인구수,남여_비율,총연령구간인구수,총0~9세,총10~19세,총20~29세,총30~39세,총40~49세,총50~59세,총60~69세,총70~79세,총80~89세,총90~99세,총100세이상,남 인구수,남연령구간인구수,남0~9세,남10~19세,남20~29세,남30~39세,남40~49세,남50~59세,남60~69세,남70~79세,남80~89세,남90~99세,남100세 이상,여_인구수,여연령구간인구수,여0~9세,여10~19세,여20~29세,여30~39세,여40~49세,여50~59세,여60~69세,여70~79세,여80~89세,여90~99세,여100세 이상
42150-17560,회산주공아파트,0.0,226.24,226.24,226.24,0.0,0.0,0.0,강원도 강릉시 강변로 94,강원도 강릉시 회산동 602,강원도강릉시회산동,4215060000,강원도,강릉시,내곡동,4215011700,회산동,19880423,강원도강릉시내곡동,16592.0,2.15,8250.0,8342.0,0.99,16592.0,1385.0,1536.0,2468.0,2097.0,2695.0,2535.0,2197.0,1062.0,536.0,79.0,2.0,8250.0,8250.0,706.0,791.0,1343.0,1051.0,1380.0,1236.0,1058.0,484.0,186.0,15.0,0.0,8342.0,8342.0,679.0,745.0,1125.0,1046.0,1315.0,1299.0,1139.0,578.0,350.0,64.0,2.0
48880-6948,소만주공아파트,0.0,10.44,10.44,10.44,0.0,0.0,0.0,경상남도 거창군 거창읍 소만2길 62,경상남도 거창군 거창읍 대동리 991,경상남도거창군거창읍대동리,4888025000,경상남도,거창군,거창읍,4888025023,대동리,19881001,경상남도거창군거창읍,40926.0,2.19,20236.0,20690.0,0.98,40926.0,3208.0,5029.0,4831.0,3977.0,6111.0,6845.0,5683.0,3197.0,1779.0,256.0,10.0,20236.0,20236.0,1652.0,2748.0,2858.0,1976.0,2961.0,3439.0,2671.0,1301.0,568.0,60.0,2.0,20690.0,20690.0,1556.0,2281.0,1973.0,2001.0,3150.0,3406.0,3012.0,1896.0,1211.0,196.0,8.0
47290-100186697,사동휴먼시아1단지,0.0,521.564,7002.258000000001,6937.062,0.0,90.0,0.0,경상북도 경산시 백자로10길 57,경상북도 경산시 사동 180,경상북도경산시사동,4729056000,경상북도,경산시,동부동,4729012600,사동,19890101,경상북도경산시동부동,38839.0,2.28,19400.0,19439.0,1.0,38839.0,3141.0,4201.0,5343.0,4773.0,6744.0,6617.0,4672.0,2180.0,1027.0,137.0,4.0,19400.0,19400.0,1626.0,2261.0,2887.0,2488.0,3336.0,3238.0,2244.0,952.0,344.0,23.0,1.0,19439.0,19439.0,1515.0,1940.0,2456.0,2285.0,3408.0,3379.0,2428.0,1228.0,683.0,114.0,3.0
47290-100184414,사동휴먼시아2단지,0.0,435.744,5894.619000000001,5879.49,0.0,90.0,0.0,경상북도 경산시 솔숲길 100,경상북도 경산시 평산동 695,경상북도경산시평산동,4729056000,경상북도,경산시,동부동,4729012500,평산동,19890101,경상북도경산시동부동,38839.0,2.28,19400.0,19439.0,1.0,38839.0,3141.0,4201.0,5343.0,4773.0,6744.0,6617.0,4672.0,2180.0,1027.0,137.0,4.0,19400.0,19400.0,1626.0,2261.0,2887.0,2488.0,3336.0,3238.0,2244.0,952.0,344.0,23.0,1.0,19439.0,19439.0,1515.0,1940.0,2456.0,2285.0,3408.0,3379.0,2428.0,1228.0,683.0,114.0,3.0
47290-100184095,진량 휴먼시아,0.0,391.542,4320.232,4320.232,0.0,56.0,0.0,경상북도 경산시 진량읍 금호강변로 830-3,경상북도 경산시 진량읍 부기리 715,경상북도경산시진량읍부기리,4729025300,경상북도,경산시,진량읍,4729025326,부기리,19971101,경상북도경산시진량읍,35861.0,2.13,18739.0,17122.0,1.09,35861.0,2291.0,3363.0,5349.0,3859.0,6145.0,6945.0,4294.0,2305.0,1182.0,125.0,3.0,18739.0,18739.0,1184.0,1693.0,3080.0,2199.0,3215.0,3719.0,2227.0,997.0,389.0,36.0,0.0,17122.0,17122.0,1107.0,1670.0,2269.0,1660.0,2930.0,3226.0,2067.0,1308.0,793.0,89.0,3.0
47830-2991,고령다산주공아파트,0.0,37.38,37.38,37.38,0.0,0.0,0.0,경상북도 고령군 다산면 상곡길 28,경상북도 고령군 다산면 상곡리 162-7,경상북도고령군다산면상곡리,4783034000,경상북도,고령군,다산면,4783034034,상곡리,19881001,경상북도고령군다산면,8379.0,2.04,4355.0,4024.0,1.08,8379.0,469.0,738.0,742.0,715.0,1188.0,1592.0,1581.0,850.0,453.0,51.0,0.0,4355.0,4355.0,245.0,384.0,419.0,392.0,644.0,886.0,827.0,381.0,164.0,13.0,0.0,4024.0,4024.0,224.0,354.0,323.0,323.0,544.0,706.0,754.0,469.0,289.0,38.0,0.0
48820-100177320,동외주공아파트,0.0,425.719,5588.557,5531.858,0.0,89.0,0.0,경상남도 고성군 고성읍 동외로47번길 12,경상남도 고성군 고성읍 동외리 567,경상남도고성군고성읍동외리,4882025000,경상남도,고성군,고성읍,4882025024,동외리,19881001,경상남도고성군고성읍,24207.0,2.14,12147.0,12060.0,1.01,24207.0,1737.0,2670.0,2232.0,2259.0,3664.0,4266.0,3875.0,2212.0,1134.0,154.0,4.0,12147.0,12147.0,889.0,1479.0,1292.0,1182.0,1910.0,2226.0,1847.0,943.0,350.0,28.0,1.0,12060.0,12060.0,848.0,1191.0,940.0,1077.0,1754.0,2040.0,2028.0,1269.0,784.0,126.0,3.0
45790-100177938,고창읍내휴먼시아,0.0,527.455,5582.717,5582.717,0.0,72.0,0.0,전라북도 고창군 고창읍 성산로 19,전라북도 고창군 고창읍 읍내리 1222,전라북도고창군고창읍읍내리,4579025000,전라북도,고창군,고창읍,4579025021,읍내리,19880423,전라북도고창군고창읍,21189.0,2.21,10532.0,10657.0,0.99,21189.0,1750.0,2664.0,2278.0,2049.0,3125.0,3385.0,2907.0,1832.0,1013.0,178.0,8.0,10532.0,10532.0,921.0,1479.0,1261.0,1025.0,1568.0,1692.0,1391.0,794.0,367.0,33.0,1.0,10657.0,10657.0,829.0,1185.0,1017.0,1024.0,1557.0,1693.0,1516.0,1038.0,646.0,145.0,7.0
26710-100186658,고촌휴먼시아1,0.0,426.68699999999995,5639.425,5624.928000000001,0.0,86.0,0.0,부산광역시 기장군 철마면 고촌로44번길 16,부산광역시 기장군 철마면 고촌리 615,부산광역시기장군철마면고촌리,2671033000,부산광역시,기장군,철마면,2671033029,고촌리,19950301,부산광역시기장군철마면,7958.0,2.06,4024.0,3934.0,1.02,7958.0,344.0,437.0,702.0,656.0,989.0,1373.0,1814.0,1093.0,487.0,58.0,5.0,4024.0,4024.0,162.0,223.0,433.0,349.0,540.0,704.0,880.0,548.0,171.0,14.0,0.0,3934.0,3934.0,182.0,214.0,269.0,307.0,449.0,669.0,934.0,545.0,316.0,44.0,5.0
41210-100176056,휴먼시아,0.0,518.8530000000001,6597.519,6577.938,0.0,84.0,0.0,경기도 광명시 소하로 161,경기도 광명시 소하동 1324,경기도광명시소하동,4121064000,경기도,광명시,소하1동,4121010400,소하동,19880423,경기도광명시소하1동,31847.0,2.7,15535.0,16312.0,0.95,31847.0,2908.0,4266.0,3715.0,3884.0,6079.0,4920.0,3741.0,1592.0,632.0,108.0,2.0,15535.0,15535.0,1480.0,2191.0,1917.0,1835.0,2927.0,2444.0,1790.0,736.0,193.0,22.0,0.0,16312.0,16312.0,1428.0,2075.0,1798.0,2049.0,3152.0,2476.0,1951.0,856.0,439.0,86.0,2.0
41210-100176056,휴먼시아,0.0,518.8530000000001,6597.519,6577.938,0.0,84.0,0.0,경기도 광명시 소하로 161,경기도 광명시 소하동 1324,경기도광명시소하동,4121065000,경기도,광명시,소하2동,4121010400,소하동,19880423,경기도광명시소하2동,50783.0,2.46,25530.0,25253.0,1.01,50783.0,4615.0,4992.0,6945.0,8142.0,8724.0,8118.0,5711.0,2436.0,950.0,145.0,5.0,25530.0,25530.0,2376.0,2559.0,3623.0,4135.0,4450.0,4140.0,2763.0,1130.0,319.0,33.0,2.0,25253.0,25253.0,2239.0,2433.0,3322.0,4007.0,4274.0,3978.0,2948.0,1306.0,631.0,112.0,3.0
46230-5645,마동주공아파트,0.0,330.66,330.66,330.66,0.0,1.0,0.0,전라남도 광양시 진등6길 31,전라남도 광양시 마동 1030,전라남도광양시마동,4623053000,전라남도,광양시,중마동,4623010700,마동,19950101,전라남도광양시중마동,57510.0,2.5,30295.0,27215.0,1.11,57510.0,6294.0,7275.0,8166.0,8411.0,10328.0,10980.0,4121.0,1264.0,592.0,78.0,1.0,30295.0,30295.0,3206.0,3736.0,4701.0,4495.0,5192.0,5984.0,2229.0,560.0,180.0,12.0,0.0,27215.0,27215.0,3088.0,3539.0,3465.0,3916.0,5136.0,4996.0,1892.0,704.0,412.0,66.0,1.0
29140-110000271,동천마을 6단지아파트,0.0,490.709,7272.904,7258.233,0.0,118.0,0.0,광주광역시 서구 하남대로710번길 5,광주광역시 서구 동천동 658,광주광역시서구동천동,2914084000,광주광역시,서구,동천동,2914013300,동천동,20111001,광주광역시서구동천동,16229.0,2.57,7703.0,8526.0,0.9,16229.0,1530.0,2413.0,1917.0,1664.0,3348.0,2545.0,1722.0,779.0,258.0,52.0,1.0,7703.0,7703.0,757.0,1212.0,1028.0,755.0,1549.0,1240.0,742.0,331.0,79.0,10.0,0.0,8526.0,8526.0,773.0,1201.0,889.0,909.0,1799.0,1305.0,980.0,448.0,179.0,42.0,1.0
29155-1973,송화마을휴먼시아,0.0,0.0,2487.263,0.0,0.0,0.0,0.0,광주광역시 남구 효우로60번길 50,광주광역시 남구 노대동 725,광주광역시남구노대동,2915571000,광주광역시,남구,효덕동,2915510700,노대동,19950301,광주광역시남구효덕동,45638.0,2.43,21538.0,24100.0,0.89,45638.0,3771.0,5807.0,6361.0,5195.0,7690.0,6843.0,5388.0,3091.0,1285.0,200.0,7.0,21538.0,21538.0,1876.0,2815.0,3222.0,2451.0,3582.0,3196.0,2427.0,1416.0,505.0,48.0,0.0,24100.0,24100.0,1895.0,2992.0,3139.0,2744.0,4108.0,3647.0,2961.0,1675.0,780.0,152.0,7.0
29155-1996,송화마을휴먼시아,0.0,0.0,351.414,351.414,0.0,0.0,0.0,광주광역시 남구 효우로60번길 37,광주광역시 남구 노대동 726,광주광역시남구노대동,2915571000,광주광역시,남구,효덕동,2915510700,노대동,19950301,광주광역시남구효덕동,45638.0,2.43,21538.0,24100.0,0.89,45638.0,3771.0,5807.0,6361.0,5195.0,7690.0,6843.0,5388.0,3091.0,1285.0,200.0,7.0,21538.0,21538.0,1876.0,2815.0,3222.0,2451.0,3582.0,3196.0,2427.0,1416.0,505.0,48.0,0.0,24100.0,24100.0,1895.0,2992.0,3139.0,2744.0,4108.0,3647.0,2961.0,1675.0,780.0,152.0,7.0
29155-1894,송화마을휴먼시아,0.0,9.81,9.81,9.81,0.0,0.0,0.0,광주광역시 남구 효우로60번길 10,광주광역시 남구 노대동 731,광주광역시남구노대동,2915571000,광주광역시,남구,효덕동,2915510700,노대동,19950301,광주광역시남구효덕동,45638.0,2.43,21538.0,24100.0,0.89,45638.0,3771.0,5807.0,6361.0,5195.0,7690.0,6843.0,5388.0,3091.0,1285.0,200.0,7.0,21538.0,21538.0,1876.0,2815.0,3222.0,2451.0,3582.0,3196.0,2427.0,1416.0,505.0,48.0,0.0,24100.0,24100.0,1895.0,2992.0,3139.0,2744.0,4108.0,3647.0,2961.0,1675.0,780.0,152.0,7.0
29200-100199701,아름마을 휴먼시아,0.0,392.64599999999996,3409.7540000000004,3395.4570000000003,0.0,60.0,0.0,광주광역시 광산구 수등로123번길 22,광주광역시 광산구 신가동 1064,광주광역시광산구신가동,2920063000,광주광역시,광산구,신가동,2920011900,신가동,19970701,광주광역시광산구신가동,18564.0,2.66,9451.0,9113.0,1.04,18564.0,2009.0,2821.0,2638.0,2308.0,3877.0,2876.0,1168.0,612.0,219.0,34.0,2.0,9451.0,9451.0,1035.0,1440.0,1422.0,1132.0,1913.0,1595.0,571.0,272.0,63.0,7.0,1.0,9113.0,9113.0,974.0,1381.0,1216.0,1176.0,1964.0,1281.0,597.0,340.0,156.0,27.0,1.0
29200-100199701,아름마을 휴먼시아,0.0,392.64599999999996,3409.7540000000004,3395.4570000000003,0.0,60.0,0.0,광주광역시 광산구 수등로123번길 22,광주광역시 광산구 신가동 1064,광주광역시광산구신가동,2920063500,광주광역시,광산구,운남동,2920011900,신가동,20090901,광주광역시광산구운남동,31183.0,2.55,15278.0,15905.0,0.96,31183.0,2801.0,3868.0,4678.0,3930.0,5718.0,5574.0,2569.0,1372.0,603.0,67.0,3.0,15278.0,15278.0,1416.0,2015.0,2400.0,1955.0,2766.0,2774.0,1238.0,514.0,180.0,20.0,0.0,15905.0,15905.0,1385.0,1853.0,2278.0,1975.0,2952.0,2800.0,1331.0,858.0,423.0,47.0,3.0
29200-100199701,아름마을 휴먼시아,0.0,392.64599999999996,3409.7540000000004,3395.4570000000003,0.0,60.0,0.0,광주광역시 광산구 수등로123번길 22,광주광역시 광산구 신가동 1064,광주광역시광산구신가동,2920063700,광주광역시,광산구,수완동,2920011900,신가동,20100906,광주광역시광산구수완동,77710.0,2.76,38376.0,39334.0,0.98,77710.0,9814.0,13580.0,9651.0,10085.0,17920.0,10209.0,4041.0,1740.0,573.0,95.0,2.0,38376.0,38376.0,5036.0,6788.0,5016.0,4666.0,8604.0,5454.0,1917.0,726.0,154.0,15.0,0.0,39334.0,39334.0,4778.0,6792.0,4635.0,5419.0,9316.0,4755.0,2124.0,1014.0,419.0,80.0,2.0
29200-100203456,장자울마을 휴먼시아,0.0,524.923,6504.203,6489.696999999999,0.0,84.0,0.0,광주광역시 광산구 풍영로145번길 42,광주광역시 광산구 흑석동 504,광주광역시광산구흑석동,2920063700,광주광역시,광산구,수완동,2920012400,흑석동,20100906,광주광역시광산구수완동,77710.0,2.76,38376.0,39334.0,0.98,77710.0,9814.0,13580.0,9651.0,10085.0,17920.0,10209.0,4041.0,1740.0,573.0,95.0,2.0,38376.0,38376.0,5036.0,6788.0,5016.0,4666.0,8604.0,5454.0,1917.0,726.0,154.0,15.0,0.0,39334.0,39334.0,4778.0,6792.0,4635.0,5419.0,9316.0,4755.0,2124.0,1014.0,419.0,80.0,2.0
29200-100203456,장자울마을 휴먼시아,0.0,524.923,6504.203,6489.696999999999,0.0,84.0,0.0,광주광역시 광산구 풍영로145번길 42,광주광역시 광산구 흑석동 504,광주광역시광산구흑석동,2920064000,광주광역시,광산구,하남동,2920012400,흑석동,19981015,광주광역시광산구하남동,24943.0,2.53,12811.0,12132.0,1.06,24943.0,3071.0,3288.0,3319.0,3697.0,5066.0,3551.0,1995.0,641.0,271.0,42.0,2.0,12811.0,12811.0,1573.0,1716.0,1783.0,1865.0,2640.0,1820.0,1039.0,294.0,73.0,8.0,0.0,12132.0,12132.0,1498.0,1572.0,1536.0,1832.0,2426.0,1731.0,956.0,347.0,198.0,34.0,2.0
29170-61550,신용주공아파트,0.0,0.0,276.0,0.0,0.0,0.0,0.0,광주광역시 북구 연양로7번길 58,광주광역시 북구 신용동 647,광주광역시북구신용동,2917069700,광주광역시,북구,신용동,2917013000,신용동,20200727,광주광역시북구신용동,30052.0,2.55,14902.0,15150.0,0.98,30052.0,4429.0,3836.0,3292.0,5293.0,6395.0,3763.0,1939.0,772.0,288.0,44.0,1.0,14902.0,14902.0,2295.0,1986.0,1699.0,2575.0,3235.0,1810.0,886.0,314.0,94.0,8.0,0.0,15150.0,15150.0,2134.0,1850.0,1593.0,2718.0,3160.0,1953.0,1053.0,458.0,194.0,36.0,1.0
29170-61285,연제주공아파트,0.0,0.0,2428.237,0.0,0.0,0.0,0.0,광주광역시 북구 양산제로 110,광주광역시 북구 연제동 11,광주광역시북구연제동,2917069600,광주광역시,북구,양산동,2917012900,연제동,20130318,광주광역시북구양산동,37886.0,2.34,19052.0,18834.0,1.01,37886.0,3890.0,4095.0,5124.0,5826.0,6562.0,5905.0,3810.0,1813.0,737.0,120.0,4.0,19052.0,19052.0,2055.0,2078.0,2689.0,3066.0,3325.0,2935.0,1834.0,811.0,238.0,21.0,0.0,18834.0,18834.0,1835.0,2017.0,2435.0,2760.0,3237.0,2970.0,1976.0,1002.0,499.0,99.0,4.0
29170-62177,용두2주공아파트,0.0,254.435,225.855,225.855,0.0,6.0,0.0,광주광역시 북구 하서로483번길 22,광주광역시 북구 용두동 1089,광주광역시북구용두동,2917069500,광주광역시,북구,건국동,2917013100,용두동,19980921,광주광역시북구건국동,22458.0,2.43,11345.0,11113.0,1.02,22458.0,2646.0,2539.0,2721.0,3473.0,4056.0,3348.0,2068.0,1005.0,521.0,79.0,2.0,11345.0,11345.0,1363.0,1303.0,1465.0,1746.0,2058.0,1752.0,1036.0,457.0,158.0,7.0,0.0,11113.0,11113.0,1283.0,1236.0,1256.0,1727.0,1998.0,1596.0,1032.0,548.0,363.0,72.0,2.0
29170-23506,주공아파트,0.0,20.25,20.25,20.25,0.0,0.0,0.0,광주광역시 북구 매곡로 20,광주광역시 북구 용봉동 1461,광주광역시북구용봉동,2917059000,광주광역시,북구,용봉동,2917010700,용봉동,19950101,광주광역시북구용봉동,38493.0,2.2,19188.0,19305.0,0.99,38493.0,2602.0,3764.0,7182.0,4766.0,5530.0,6655.0,4606.0,2373.0,896.0,117.0,2.0,19188.0,19188.0,1299.0,2004.0,3787.0,2564.0,2771.0,3144.0,2180.0,1082.0,330.0,27.0,0.0,19305.0,19305.0,1303.0,1760.0,3395.0,2202.0,2759.0,3511.0,2426.0,1291.0,566.0,90.0,2.0
29170-24235,죽림마을주공아파트,0.0,9.0,9.0,9.0,0.0,0.0,0.0,광주광역시 북구 유림로160번길 5,광주광역시 북구 동림동 234,광주광역시북구동림동,2917061500,광주광역시,북구,동림동,2917010800,동림동,19970301,광주광역시북구동림동,23570.0,2.4,11624.0,11946.0,0.97,23570.0,2160.0,2285.0,3062.0,3520.0,3861.0,3868.0,2846.0,1390.0,497.0,77.0,4.0,11624.0,11624.0,1112.0,1222.0,1606.0,1784.0,1965.0,1822.0,1263.0,654.0,176.0,19.0,1.0,11946.0,11946.0,1048.0,1063.0,1456.0,1736.0,1896.0,2046.0,1583.0,736.0,321.0,58.0,3.0
45130-7757, ,0.0,11.04,11.04,11.04,0.0,0.0,1.0,전라북도 군산시 미원로 61,전라북도 군산시 삼학동 888,전라북도군산시삼학동,4513056000,전라북도,군산시,삼학동,4513011100,삼학동,19880423,전라북도군산시삼학동,5581.0,1.92,2720.0,2861.0,0.95,5581.0,150.0,327.0,576.0,384.0,583.0,925.0,1152.0,978.0,444.0,61.0,1.0,2720.0,2720.0,81.0,156.0,340.0,212.0,330.0,461.0,550.0,410.0,166.0,13.0,1.0,2861.0,2861.0,69.0,171.0,236.0,172.0,253.0,464.0,602.0,568.0,278.0,48.0,0.0
44710-100184840,주공아파트,0.0,976.6,6987.056,6718.4,23.91,98.0,0.0,충청남도 금산군 금산읍 비단로 338,충청남도 금산군 금산읍 상리 312,충청남도금산군금산읍상리,4471025000,충청남도,금산군,금산읍,4471025024,상리,19880423,충청남도금산군금산읍,22543.0,2.2,11065.0,11478.0,0.96,22543.0,1577.0,2459.0,2112.0,2002.0,3493.0,3729.0,3514.0,2345.0,1170.0,139.0,3.0,11065.0,11065.0,778.0,1260.0,1179.0,1014.0,1813.0,1911.0,1678.0,994.0,410.0,28.0,0.0,11478.0,11478.0,799.0,1199.0,933.0,988.0,1680.0,1818.0,1836.0,1351.0,760.0,111.0,3.0
47150-18353,주공아파트,0.0,10.44,10.44,10.44,0.0,0.0,0.0,경상북도 김천시 무실7길 38,경상북도 김천시 덕곡동 767,경상북도김천시덕곡동,4715061000,경상북도,김천시,지좌동,4715011600,덕곡동,19880423,경상북도김천시지좌동,11070.0,2.12,5647.0,5423.0,1.04,11070.0,877.0,1068.0,1432.0,1305.0,1808.0,1933.0,1517.0,747.0,326.0,56.0,1.0,5647.0,5647.0,439.0,599.0,794.0,740.0,932.0,994.0,712.0,329.0,98.0,10.0,0.0,5423.0,5423.0,438.0,469.0,638.0,565.0,876.0,939.0,805.0,418.0,228.0,46.0,1.0
48250-102013553,율곡마을 주공2단지아파트,0.0,375.608,7765.297,7752.436,0.0,99.0,0.0,경상남도 김해시 율하1로 7,경상남도 김해시 율하동 1291,경상남도김해시율하동,4825063000,경상남도,김해시,장유3동,4825013100,율하동,20130701,경상남도김해시장유3동,72820.0,2.77,36134.0,36686.0,0.98,72820.0,10592.0,11065.0,6705.0,11765.0,16838.0,8621.0,4542.0,1938.0,663.0,89.0,2.0,36134.0,36134.0,5333.0,5680.0,3488.0,5606.0,8267.0,4567.0,2105.0,875.0,196.0,17.0,0.0,36686.0,36686.0,5259.0,5385.0,3217.0,6159.0,8571.0,4054.0,2437.0,1063.0,467.0,72.0,2.0
48250-14882,월산마을14단지주공아파트,0.0,9.587,5.688,5.688,0.0,0.0,0.0,경상남도 김해시 월산로 81-14,경상남도 김해시 부곡동 805-4,경상남도김해시부곡동,4825061000,경상남도,김해시,장유1동,4825012500,부곡동,20130701,경상남도김해시장유1동,57078.0,2.62,28448.0,28630.0,0.99,57078.0,5186.0,8018.0,7071.0,6860.0,11907.0,9610.0,4927.0,2360.0,1014.0,118.0,7.0,28448.0,28448.0,2559.0,4125.0,3805.0,3434.0,5768.0,5034.0,2354.0,1012.0,329.0,24.0,4.0,28630.0,28630.0,2627.0,3893.0,3266.0,3426.0,6139.0,4576.0,2573.0,1348.0,685.0,94.0,3.0
48250-14659,월산마을11단지주공아파트,0.0,10.4,2839.01,0.0,0.0,0.0,0.0,경상남도 김해시 월산로 103,경상남도 김해시 부곡동 805-1,경상남도김해시부곡동,4825061000,경상남도,김해시,장유1동,4825012500,부곡동,20130701,경상남도김해시장유1동,57078.0,2.62,28448.0,28630.0,0.99,57078.0,5186.0,8018.0,7071.0,6860.0,11907.0,9610.0,4927.0,2360.0,1014.0,118.0,7.0,28448.0,28448.0,2559.0,4125.0,3805.0,3434.0,5768.0,5034.0,2354.0,1012.0,329.0,24.0,4.0,28630.0,28630.0,2627.0,3893.0,3266.0,3426.0,6139.0,4576.0,2573.0,1348.0,685.0,94.0,3.0
48250-102030982,진영휴먼시아,0.0,621.535,6957.194,6942.688,0.0,90.0,0.0,경상남도 김해시 진영읍 김해대로 462,경상남도 김해시 진영읍 여래리 981,경상남도김해시진영읍여래리,4825025000,경상남도,김해시,진영읍,4825025027,여래리,19950510,경상남도김해시진영읍,55651.0,2.33,28675.0,26976.0,1.06,55651.0,6295.0,6127.0,5305.0,8489.0,10913.0,8320.0,6192.0,2648.0,1195.0,164.0,3.0,28675.0,28675.0,3262.0,3173.0,2961.0,4407.0,5844.0,4328.0,3077.0,1205.0,391.0,27.0,0.0,26976.0,26976.0,3033.0,2954.0,2344.0,4082.0,5069.0,3992.0,3115.0,1443.0,804.0,137.0,3.0
41360-100191610,휴먼시아,0.0,426.08,8117.351,8101.845,0.0,109.0,0.0,경기도 남양주시 진접읍 금강로 1554-20,경기도 남양주시 진접읍 장현리 703,경기도남양주시진접읍장현리,4136025300,경기도,남양주시,진접읍,4136025321,장현리,19950101,경기도남양주시진접읍,92857.0,2.49,46837.0,46020.0,1.02,92857.0,7934.0,11401.0,10628.0,9980.0,17157.0,15315.0,11491.0,5983.0,2628.0,324.0,16.0,46837.0,46837.0,4125.0,5888.0,5638.0,4952.0,8600.0,8125.0,5746.0,2677.0,997.0,87.0,2.0,46020.0,46020.0,3809.0,5513.0,4990.0,5028.0,8557.0,7190.0,5745.0,3306.0,1631.0,237.0,14.0
41360-100211183,휴먼시아,0.0,569.268,6964.935,6948.24,0.0,90.0,0.0,경기도 남양주시 진접읍 해밀예당3로 67,경기도 남양주시 진접읍 금곡리 1093,경기도남양주시진접읍금곡리,4136025300,경기도,남양주시,진접읍,4136025328,금곡리,19950101,경기도남양주시진접읍,92857.0,2.49,46837.0,46020.0,1.02,92857.0,7934.0,11401.0,10628.0,9980.0,17157.0,15315.0,11491.0,5983.0,2628.0,324.0,16.0,46837.0,46837.0,4125.0,5888.0,5638.0,4952.0,8600.0,8125.0,5746.0,2677.0,997.0,87.0,2.0,46020.0,46020.0,3809.0,5513.0,4990.0,5028.0,8557.0,7190.0,5745.0,3306.0,1631.0,237.0,14.0
41360-100212493,휴먼시아,0.0,469.647,6083.206999999999,6031.869000000001,0.0,90.0,0.0,경기도 남양주시 진접읍 해밀예당3로 37,경기도 남양주시 진접읍 금곡리 1098,경기도남양주시진접읍금곡리,4136025300,경기도,남양주시,진접읍,4136025328,금곡리,19950101,경기도남양주시진접읍,92857.0,2.49,46837.0,46020.0,1.02,92857.0,7934.0,11401.0,10628.0,9980.0,17157.0,15315.0,11491.0,5983.0,2628.0,324.0,16.0,46837.0,46837.0,4125.0,5888.0,5638.0,4952.0,8600.0,8125.0,5746.0,2677.0,997.0,87.0,2.0,46020.0,46020.0,3809.0,5513.0,4990.0,5028.0,8557.0,7190.0,5745.0,3306.0,1631.0,237.0,14.0
41360-100172210,주공아파트,0.0,0.0,1180.645,0.0,0.0,0.0,0.0,경기도 남양주시 퇴계원읍 퇴계원로 120-11,경기도 남양주시 퇴계원읍 퇴계원리 367,경기도남양주시퇴계원읍퇴계원리,4136026500,경기도,남양주시,퇴계원읍,4136026521,퇴계원리,20191021,경기도남양주시퇴계원읍,29406.0,2.42,14674.0,14732.0,1.0,29406.0,1670.0,2534.0,3972.0,3277.0,4199.0,5639.0,4754.0,2221.0,1017.0,114.0,9.0,14674.0,14674.0,827.0,1319.0,2134.0,1742.0,2111.0,2716.0,2396.0,1032.0,366.0,29.0,2.0,14732.0,14732.0,843.0,1215.0,1838.0,1535.0,2088.0,2923.0,2358.0,1189.0,651.0,85.0,7.0
41360-100172610,주공아파트,0.0,10.56,191.54,0.0,0.0,0.0,0.0,경기도 남양주시 퇴계원읍 도제원로 116,경기도 남양주시 퇴계원읍 퇴계원리 366,경기도남양주시퇴계원읍퇴계원리,4136026500,경기도,남양주시,퇴계원읍,4136026521,퇴계원리,20191021,경기도남양주시퇴계원읍,29406.0,2.42,14674.0,14732.0,1.0,29406.0,1670.0,2534.0,3972.0,3277.0,4199.0,5639.0,4754.0,2221.0,1017.0,114.0,9.0,14674.0,14674.0,827.0,1319.0,2134.0,1742.0,2111.0,2716.0,2396.0,1032.0,366.0,29.0,2.0,14732.0,14732.0,843.0,1215.0,1838.0,1535.0,2088.0,2923.0,2358.0,1189.0,651.0,85.0,7.0
41360-23062, ,0.0,60.72,60.72,60.72,0.0,0.0,1.0,경기도 남양주시 늘을1로 31,경기도 남양주시 호평동 624,경기도남양주시호평동,4136051000,경기도,남양주시,호평동,4136010100,호평동,19950101,경기도남양주시호평동,57499.0,2.65,28020.0,29479.0,0.95,57499.0,6308.0,7201.0,6198.0,7543.0,11962.0,8405.0,5321.0,3131.0,1224.0,195.0,11.0,28020.0,28020.0,3269.0,3700.0,3197.0,3549.0,5771.0,4256.0,2404.0,1353.0,474.0,45.0,2.0,29479.0,29479.0,3039.0,3501.0,3001.0,3994.0,6191.0,4149.0,2917.0,1778.0,750.0,150.0,9.0
