관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소,juso,행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명,생성일자,행정기관,총인구수,세대당_인구,남자_인구수,여자_인구수,남여_비율,총연령구간인구수,총0~9세,총10~19세,총20~29세,총30~39세,총40~49세,총50~59세,총60~69세,총70~79세,총80~89세,총90~99세,총100세이상,남 인구수,남연령구간인구수,남0~9세,남10~19세,남20~29세,남30~39세,남40~49세,남50~59세,남60~69세,남70~79세,남80~89세,남90~99세,남100세 이상,여_인구수,여연령구간인구수,여0~9세,여10~19세,여20~29세,여30~39세,여40~49세,여50~59세,여60~69세,여70~79세,여80~89세,여90~99세,여100세 이상
30200-100216666,노은4단지,0.0,509.89,4595.19,4595.19,0.0,69.0,0.0,대전광역시 유성구 지족로148번길 40,대전광역시 유성구 지족동 1051,대전광역시유성구지족동,3020054700,대전광역시,유성구,노은2동,3020012000,지족동,20070205,대전광역시유성구노은2동,24757.0,2.62,12171.0,12586.0,0.97,24757.0,2352.0,3422.0,3137.0,3109.0,4657.0,4065.0,2254.0,1108.0,564.0,88.0,1.0,12171.0,12171.0,1223.0,1761.0,1613.0,1533.0,2190.0,2047.0,1093.0,484.0,209.0,18.0,0.0,12586.0,12586.0,1129.0,1661.0,1524.0,1576.0,2467.0,2018.0,1161.0,624.0,355.0,70.0,1.0
30200-100216666,노은4단지,0.0,509.89,4595.19,4595.19,0.0,69.0,0.0,대전광역시 유성구 지족로148번길 40,대전광역시 유성구 지족동 1051,대전광역시유성구지족동,3020054800,대전광역시,유성구,노은3동,3020012000,지족동,20150720,대전광역시유성구노은3동,37657.0,2.67,18494.0,19163.0,0.97,37657.0,4863.0,4582.0,3799.0,6060.0,7432.0,5276.0,3612.0,1379.0,554.0,96.0,4.0,18494.0,18494.0,2465.0,2325.0,2004.0,2900.0,3600.0,2581.0,1721.0,675.0,205.0,18.0,0.0,19163.0,19163.0,2398.0,2257.0,1795.0,3160.0,3832.0,2695.0,1891.0,704.0,349.0,78.0,4.0
42730-100185047,횡성읍하 엘에이치아파트,0.0,265.45799999999997,2768.614,2768.614,0.0,39.0,0.0,강원도 횡성군 횡성읍 앞들서2로 34,강원도 횡성군 횡성읍 읍하리 172,강원도횡성군횡성읍읍하리,4273025000,강원도,횡성군,횡성읍,4273025022,읍하리,19880423,강원도횡성군횡성읍,20964.0,2.2,10576.0,10388.0,1.02,20964.0,1443.0,1991.0,2293.0,2028.0,2935.0,3678.0,3482.0,1781.0,1117.0,205.0,11.0,10576.0,10576.0,756.0,1022.0,1267.0,1016.0,1593.0,1926.0,1758.0,784.0,404.0,49.0,1.0,10388.0,10388.0,687.0,969.0,1026.0,1012.0,1342.0,1752.0,1724.0,997.0,713.0,156.0,10.0
29155-100194096,광주백운3휴먼시아,0.0,340.66,913.34,913.34,0.0,0.0,0.0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686,광주광역시남구백운동,2915567000,광주광역시,남구,백운1동,2915510500,백운동,19950301,광주광역시남구백운1동,12317.0,2.38,5829.0,6488.0,0.9,12317.0,952.0,1125.0,1493.0,1422.0,1872.0,1885.0,1876.0,1128.0,476.0,86.0,2.0,5829.0,5829.0,488.0,546.0,764.0,702.0,918.0,883.0,828.0,478.0,198.0,24.0,0.0,6488.0,6488.0,464.0,579.0,729.0,720.0,954.0,1002.0,1048.0,650.0,278.0,62.0,2.0
29155-100194096,광주백운3휴먼시아,0.0,340.66,913.34,913.34,0.0,0.0,0.0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686,광주광역시남구백운동,2915568000,광주광역시,남구,백운2동,2915510500,백운동,19950301,광주광역시남구백운2동,6440.0,1.93,3171.0,3269.0,0.97,6440.0,470.0,429.0,984.0,906.0,886.0,938.0,910.0,631.0,254.0,31.0,1.0,3171.0,3171.0,251.0,209.0,446.0,473.0,492.0,472.0,419.0,296.0,108.0,5.0,0.0,3269.0,3269.0,219.0,220.0,538.0,433.0,394.0,466.0,491.0,335.0,146.0,26.0,1.0
29155-100194096,광주백운3휴먼시아,0.0,340.66,913.34,913.34,0.0,0.0,0.0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686,광주광역시남구백운동,2915570000,광주광역시,남구,주월2동,2915510500,백운동,19950301,광주광역시남구주월2동,8192.0,2.03,4070.0,4122.0,0.99,8192.0,479.0,571.0,1098.0,894.0,1102.0,1392.0,1416.0,887.0,313.0,39.0,1.0,4070.0,4070.0,233.0,287.0,607.0,484.0,565.0,655.0,673.0,420.0,134.0,12.0,0.0,4122.0,4122.0,246.0,284.0,491.0,410.0,537.0,737.0,743.0,467.0,179.0,27.0,1.0
29155-130001288,광주백운2휴먼시아,0.0,179.12,529.44,529.44,0.0,0.0,0.0,광주광역시 남구 독립로80번길 8,광주광역시 남구 백운동 693,광주광역시남구백운동,2915567000,광주광역시,남구,백운1동,2915510500,백운동,19950301,광주광역시남구백운1동,12317.0,2.38,5829.0,6488.0,0.9,12317.0,952.0,1125.0,1493.0,1422.0,1872.0,1885.0,1876.0,1128.0,476.0,86.0,2.0,5829.0,5829.0,488.0,546.0,764.0,702.0,918.0,883.0,828.0,478.0,198.0,24.0,0.0,6488.0,6488.0,464.0,579.0,729.0,720.0,954.0,1002.0,1048.0,650.0,278.0,62.0,2.0
29155-130001288,광주백운2휴먼시아,0.0,179.12,529.44,529.44,0.0,0.0,0.0,광주광역시 남구 독립로80번길 8,광주광역시 남구 백운동 693,광주광역시남구백운동,2915568000,광주광역시,남구,백운2동,2915510500,백운동,19950301,광주광역시남구백운2동,6440.0,1.93,3171.0,3269.0,0.97,6440.0,470.0,429.0,984.0,906.0,886.0,938.0,910.0,631.0,254.0,31.0,1.0,3171.0,3171.0,251.0,209.0,446.0,473.0,492.0,472.0,419.0,296.0,108.0,5.0,0.0,3269.0,3269.0,219.0,220.0,538.0,433.0,394.0,466.0,491.0,335.0,146.0,26.0,1.0
29155-130001288,광주백운2휴먼시아,0.0,179.12,529.44,529.44,0.0,0.0,0.0,광주광역시 남구 독립로80번길 8,광주광역시 남구 백운동 693,광주광역시남구백운동,2915570000,광주광역시,남구,주월2동,2915510500,백운동,19950301,광주광역시남구주월2동,8192.0,2.03,4070.0,4122.0,0.99,8192.0,479.0,571.0,1098.0,894.0,1102.0,1392.0,1416.0,887.0,313.0,39.0,1.0,4070.0,4070.0,233.0,287.0,607.0,484.0,565.0,655.0,673.0,420.0,134.0,12.0,0.0,4122.0,4122.0,246.0,284.0,491.0,410.0,537.0,737.0,743.0,467.0,179.0,27.0,1.0
42150-11825,강릉교동(2) 주공아파트,0.0,545.6519999999999,6374.996,6345.654,0.0,90.0,0.0,강원도 강릉시 가작로 85,강원도 강릉시 교동 1748,강원도강릉시교동,4215055000,강원도,강릉시,교1동,4215011000,교동,19880423,강원도강릉시교1동,26215.0,2.24,12809.0,13406.0,0.96,26215.0,1765.0,2981.0,3633.0,2626.0,4518.0,4484.0,3335.0,1789.0,955.0,124.0,5.0,12809.0,12809.0,905.0,1551.0,1930.0,1338.0,2105.0,2266.0,1539.0,772.0,382.0,21.0,0.0,13406.0,13406.0,860.0,1430.0,1703.0,1288.0,2413.0,2218.0,1796.0,1017.0,573.0,103.0,5.0
42150-11825,강릉교동(2) 주공아파트,0.0,545.6519999999999,6374.996,6345.654,0.0,90.0,0.0,강원도 강릉시 가작로 85,강원도 강릉시 교동 1748,강원도강릉시교동,4215056000,강원도,강릉시,교2동,4215011000,교동,19880423,강원도강릉시교2동,7831.0,2.03,3886.0,3945.0,0.99,7831.0,359.0,607.0,941.0,774.0,1036.0,1409.0,1447.0,806.0,384.0,66.0,2.0,3886.0,3886.0,188.0,317.0,479.0,440.0,524.0,705.0,694.0,378.0,151.0,10.0,0.0,3945.0,3945.0,171.0,290.0,462.0,334.0,512.0,704.0,753.0,428.0,233.0,56.0,2.0
42150-15284,주민복지관,16922.2,238.93,849.68,238.93,197.69,0.0,0.0,강원도 강릉시 하평길 55,강원도 강릉시 포남동 1293-4,강원도강릉시포남동,4215057100,강원도,강릉시,포남1동,4215011100,포남동,19950301,강원도강릉시포남1동,10377.0,1.94,5126.0,5251.0,0.98,10377.0,428.0,727.0,1250.0,885.0,1403.0,1965.0,2022.0,1122.0,506.0,66.0,3.0,5126.0,5126.0,228.0,389.0,651.0,487.0,762.0,979.0,898.0,506.0,210.0,15.0,1.0,5251.0,5251.0,200.0,338.0,599.0,398.0,641.0,986.0,1124.0,616.0,296.0,51.0,2.0
42150-15284,주민복지관,16922.2,238.93,849.68,238.93,197.69,0.0,0.0,강원도 강릉시 하평길 55,강원도 강릉시 포남동 1293-4,강원도강릉시포남동,4215057200,강원도,강릉시,포남2동,4215011100,포남동,19950301,강원도강릉시포남2동,12976.0,1.97,6400.0,6576.0,0.97,12976.0,559.0,1133.0,1650.0,1281.0,1825.0,2439.0,2353.0,1120.0,516.0,98.0,2.0,6400.0,6400.0,284.0,602.0,886.0,713.0,939.0,1193.0,1079.0,516.0,176.0,11.0,1.0,6576.0,6576.0,275.0,531.0,764.0,568.0,886.0,1246.0,1274.0,604.0,340.0,87.0,1.0
42150-22036,입암3아파트,0.0,0.0,6730.06,6285.59,0.0,150.0,0.0,강원도 강릉시 강변로 510,강원도 강릉시 입암동 49-9,강원도강릉시입암동,4215064500,강원도,강릉시,성덕동,4215012500,입암동,19981001,강원도강릉시성덕동,28590.0,2.38,14135.0,14455.0,0.98,28590.0,2389.0,3448.0,3474.0,3220.0,5177.0,4607.0,3467.0,1724.0,929.0,150.0,5.0,14135.0,14135.0,1279.0,1823.0,1881.0,1634.0,2521.0,2277.0,1665.0,728.0,298.0,28.0,1.0,14455.0,14455.0,1110.0,1625.0,1593.0,1586.0,2656.0,2330.0,1802.0,996.0,631.0,122.0,4.0
48310-10091, ,324.0,24.13,24.13,24.13,7.45,0.0,1.0,경상남도 거제시 장평2로 36,경상남도 거제시 장평동 144,경상남도거제시장평동,4831057000,경상남도,거제시,장평동,4831010800,장평동,20080701,경상남도거제시장평동,20722.0,2.08,11784.0,8938.0,1.32,20722.0,1567.0,2216.0,2794.0,3233.0,4415.0,3915.0,1918.0,470.0,163.0,28.0,3.0,11784.0,11784.0,825.0,1155.0,1676.0,2034.0,2615.0,2201.0,983.0,245.0,46.0,4.0,0.0,8938.0,8938.0,742.0,1061.0,1118.0,1199.0,1800.0,1714.0,935.0,225.0,117.0,24.0,3.0
44270-100255135,엘에이치천년나무2단지,0.0,0.0,108.54,0.0,0.0,0.0,0.0,충청남도 당진시 석문면 해명1로 200,충청남도 당진시 석문면 통정리 1733,충청남도당진시석문면통정리,4427032000,충청남도,당진시,석문면,4427032021,통정리,20120101,충청남도당진시석문면,9700.0,1.67,5734.0,3966.0,1.45,9700.0,391.0,485.0,903.0,1095.0,1348.0,1913.0,1850.0,991.0,626.0,92.0,6.0,5734.0,5734.0,205.0,259.0,626.0,755.0,933.0,1215.0,1025.0,466.0,228.0,20.0,2.0,3966.0,3966.0,186.0,226.0,277.0,340.0,415.0,698.0,825.0,525.0,398.0,72.0,4.0
44150-8480,주공아파트,16473.0,628.06,1237.9,1237.9,7.51,0.0,0.0,충청남도 공주시 우금티로 709-12,충청남도 공주시 옥룡동 123,충청남도공주시옥룡동,4415056000,충청남도,공주시,옥룡동,4415010900,옥룡동,19880423,충청남도공주시옥룡동,7940.0,1.89,3987.0,3953.0,1.01,7940.0,304.0,540.0,841.0,656.0,997.0,1516.0,1552.0,957.0,512.0,64.0,1.0,3987.0,3987.0,156.0,280.0,488.0,375.0,542.0,782.0,757.0,401.0,186.0,20.0,0.0,3953.0,3953.0,148.0,260.0,353.0,281.0,455.0,734.0,795.0,556.0,326.0,44.0,1.0
26710-1546,기장교리주공아파트,0.0,309.097,307.97700000000003,307.97700000000003,0.0,0.0,0.0,부산광역시 기장군 기장읍 차성로397번길 7,부산광역시 기장군 기장읍 교리 170,부산광역시기장군기장읍교리,2671025000,부산광역시,기장군,기장읍,2671025022,교리,19950301,부산광역시기장군기장읍,52662.0,2.08,25694.0,26968.0,0.95,52662.0,3070.0,4327.0,6255.0,5531.0,8061.0,9335.0,8436.0,5007.0,2329.0,297.0,14.0,25694.0,25694.0,1629.0,2249.0,3327.0,2906.0,4037.0,4620.0,3950.0,2111.0,810.0,54.0,1.0,26968.0,26968.0,1441.0,2078.0,2928.0,2625.0,4024.0,4715.0,4486.0,2896.0,1519.0,243.0,13.0
48250-9770,구산제2주공아파트,0.0,278.0,1174.25,556.0,0.0,0.0,0.0,경상남도 김해시 가락로 222,경상남도 김해시 구산동 321,경상남도김해시구산동,4825055000,경상남도,김해시,북부동,4825010600,구산동,19880423,경상남도김해시북부동,80359.0,2.6,40222.0,40137.0,1.0,80359.0,7097.0,10358.0,10825.0,9326.0,15166.0,14989.0,7874.0,3183.0,1370.0,164.0,7.0,40222.0,40222.0,3627.0,5442.0,5900.0,4683.0,7164.0,7615.0,4020.0,1326.0,414.0,31.0,0.0,40137.0,40137.0,3470.0,4916.0,4925.0,4643.0,8002.0,7374.0,3854.0,1857.0,956.0,133.0,7.0
48250-102109925,젤미마을 주공2단지,0.0,0.0,3368.84,0.0,0.0,0.0,0.0,경상남도 김해시 능동로 76,경상남도 김해시 삼문동 61-3,경상남도김해시삼문동,4825062000,경상남도,김해시,장유2동,4825012800,삼문동,20130701,경상남도김해시장유2동,36313.0,2.54,18275.0,18038.0,1.01,36313.0,3477.0,5134.0,4356.0,4380.0,7755.0,6177.0,3018.0,1408.0,530.0,77.0,1.0,18275.0,18275.0,1748.0,2652.0,2395.0,2227.0,3757.0,3268.0,1461.0,584.0,171.0,11.0,1.0,18038.0,18038.0,1729.0,2482.0,1961.0,2153.0,3998.0,2909.0,1557.0,824.0,359.0,66.0,0.0
30170-27721,구봉마을 8-1단지,0.0,460.98699999999997,8597.232,8213.783000000001,0.0,115.0,0.0,대전광역시 서구 관저로 84,대전광역시 서구 관저동 1148,대전광역시서구관저동,3017059600,대전광역시,서구,관저1동,3017011600,관저동,20050204,대전광역시서구관저1동,15787.0,2.41,7545.0,8242.0,0.92,15787.0,1276.0,1600.0,2777.0,2066.0,2343.0,2781.0,1677.0,812.0,400.0,53.0,2.0,7545.0,7545.0,651.0,839.0,1318.0,1047.0,1059.0,1287.0,853.0,336.0,138.0,17.0,0.0,8242.0,8242.0,625.0,761.0,1459.0,1019.0,1284.0,1494.0,824.0,476.0,262.0,36.0,2.0
30170-27721,구봉마을 8-1단지,0.0,460.98699999999997,8597.232,8213.783000000001,0.0,115.0,0.0,대전광역시 서구 관저로 84,대전광역시 서구 관저동 1148,대전광역시서구관저동,3017059700,대전광역시,서구,관저2동,3017011600,관저동,20050204,대전광역시서구관저2동,50453.0,2.62,24636.0,25817.0,0.95,50453.0,6102.0,6115.0,6794.0,7951.0,9426.0,7612.0,3872.0,1708.0,759.0,111.0,3.0,24636.0,24636.0,3134.0,3117.0,3437.0,3884.0,4449.0,3787.0,1815.0,763.0,235.0,15.0,0.0,25817.0,25817.0,2968.0,2998.0,3357.0,4067.0,4977.0,3825.0,2057.0,945.0,524.0,96.0,3.0
30170-27757,느리울마을,0.0,214.47,203.8,203.8,0.0,0.0,0.0,대전광역시 서구 관저동로 42,대전광역시 서구 관저동 1394,대전광역시서구관저동,3017059600,대전광역시,서구,관저1동,3017011600,관저동,20050204,대전광역시서구관저1동,15787.0,2.41,7545.0,8242.0,0.92,15787.0,1276.0,1600.0,2777.0,2066.0,2343.0,2781.0,1677.0,812.0,400.0,53.0,2.0,7545.0,7545.0,651.0,839.0,1318.0,1047.0,1059.0,1287.0,853.0,336.0,138.0,17.0,0.0,8242.0,8242.0,625.0,761.0,1459.0,1019.0,1284.0,1494.0,824.0,476.0,262.0,36.0,2.0
30170-27757,느리울마을,0.0,214.47,203.8,203.8,0.0,0.0,0.0,대전광역시 서구 관저동로 42,대전광역시 서구 관저동 1394,대전광역시서구관저동,3017059700,대전광역시,서구,관저2동,3017011600,관저동,20050204,대전광역시서구관저2동,50453.0,2.62,24636.0,25817.0,0.95,50453.0,6102.0,6115.0,6794.0,7951.0,9426.0,7612.0,3872.0,1708.0,759.0,111.0,3.0,24636.0,24636.0,3134.0,3117.0,3437.0,3884.0,4449.0,3787.0,1815.0,763.0,235.0,15.0,0.0,25817.0,25817.0,2968.0,2998.0,3357.0,4067.0,4977.0,3825.0,2057.0,945.0,524.0,96.0,3.0
30170-25322,은뜰마을,0.0,446.39,1799.19,873.5,0.0,0.0,0.0,대전광역시 서구 월평북로 13,대전광역시 서구 월평동 218-7,대전광역시서구월평동,3017058600,대전광역시,서구,월평1동,3017011300,월평동,19950101,대전광역시서구월평1동,11231.0,1.57,5998.0,5233.0,1.15,11231.0,374.0,544.0,2875.0,1866.0,1514.0,1889.0,1349.0,557.0,226.0,35.0,2.0,5998.0,5998.0,194.0,287.0,1542.0,1122.0,857.0,975.0,670.0,265.0,79.0,6.0,1.0,5233.0,5233.0,180.0,257.0,1333.0,744.0,657.0,914.0,679.0,292.0,147.0,29.0,1.0
30170-25322,은뜰마을,0.0,446.39,1799.19,873.5,0.0,0.0,0.0,대전광역시 서구 월평북로 13,대전광역시 서구 월평동 218-7,대전광역시서구월평동,3017058700,대전광역시,서구,월평2동,3017011300,월평동,19950101,대전광역시서구월평2동,15029.0,2.06,7146.0,7883.0,0.91,15029.0,775.0,1283.0,1888.0,1538.0,1941.0,2805.0,2616.0,1287.0,763.0,131.0,2.0,7146.0,7146.0,378.0,660.0,1019.0,789.0,907.0,1314.0,1291.0,544.0,212.0,31.0,1.0,7883.0,7883.0,397.0,623.0,869.0,749.0,1034.0,1491.0,1325.0,743.0,551.0,100.0,1.0
30170-25322,은뜰마을,0.0,446.39,1799.19,873.5,0.0,0.0,0.0,대전광역시 서구 월평북로 13,대전광역시 서구 월평동 218-7,대전광역시서구월평동,3017058800,대전광역시,서구,월평3동,3017011300,월평동,19980101,대전광역시서구월평3동,21516.0,2.81,10574.0,10942.0,0.97,21516.0,1765.0,2663.0,2713.0,2624.0,3384.0,3886.0,3018.0,938.0,450.0,74.0,1.0,10574.0,10574.0,906.0,1439.0,1495.0,1265.0,1543.0,1786.0,1531.0,438.0,154.0,17.0,0.0,10942.0,10942.0,859.0,1224.0,1218.0,1359.0,1841.0,2100.0,1487.0,500.0,296.0,57.0,1.0
