관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소,juso,행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명,생성일자,행정기관,총인구수,세대당_인구,남자_인구수,여자_인구수,남여_비율,총연령구간인구수,총0~9세,총10~19세,총20~29세,총30~39세,총40~49세,총50~59세,총60~69세,총70~79세,총80~89세,총90~99세,총100세이상,남 인구수,남연령구간인구수,남0~9세,남10~19세,남20~29세,남30~39세,남40~49세,남50~59세,남60~69세,남70~79세,남80~89세,남90~99세,남100세 이상,여_인구수,여연령구간인구수,여0~9세,여10~19세,여20~29세,여30~39세,여40~49세,여50~59세,여60~69세,여70~79세,여80~89세,여90~99세,여100세 이상
41135-100221066,백현마을,0.0,14.159,14.159,14.159,0.0,0.0,0.0,경기도 성남시 분당구 동판교로 91,경기도 성남시 분당구 백현동 553,경기도성남시분당구백현동,4113565000,경기도,성남시 분당구,판교동,4113511000,백현동,20091224,경기도성남시분당구판교동,23981.0,2.99,11801.0,12180.0,0.97,23981.0,2906.0,3422.0,2366.0,3078.0,5251.0,3563.0,2083.0,877.0,377.0,56.0,2.0,11801.0,11801.0,1509.0,1779.0,1177.0,1353.0,2477.0,1875.0,1034.0,420.0,165.0,11.0,1.0,12180.0,12180.0,1397.0,1643.0,1189.0,1725.0,2774.0,1688.0,1049.0,457.0,212.0,45.0,1.0
41135-100221066,백현마을,0.0,14.159,14.159,14.159,0.0,0.0,0.0,경기도 성남시 분당구 동판교로 91,경기도 성남시 분당구 백현동 553,경기도성남시분당구백현동,4113565700,경기도,성남시 분당구,백현동,4113511000,백현동,20091005,경기도성남시분당구백현동,27435.0,2.68,13233.0,14202.0,0.93,27435.0,2762.0,3060.0,3781.0,3668.0,4660.0,4803.0,2938.0,1206.0,475.0,81.0,1.0,13233.0,13233.0,1421.0,1589.0,1884.0,1691.0,2197.0,2282.0,1426.0,566.0,155.0,22.0,0.0,14202.0,14202.0,1341.0,1471.0,1897.0,1977.0,2463.0,2521.0,1512.0,640.0,320.0,59.0,1.0
45130-100198862,군산미장휴먼시아,0.0,588.9780000000001,5712.5740000000005,5712.5740000000005,0.0,74.0,0.0,전라북도 군산시 경포천로 34,전라북도 군산시 미장동 476,전라북도군산시미장동,4513069000,전라북도,군산시,수송동,4513014200,미장동,19880423,전라북도군산시수송동,55531.0,2.64,27721.0,27810.0,1.0,55531.0,6531.0,7730.0,6631.0,7385.0,11006.0,8177.0,4753.0,2283.0,894.0,136.0,5.0,27721.0,27721.0,3333.0,3999.0,3525.0,3523.0,5405.0,4243.0,2352.0,1014.0,299.0,27.0,1.0,27810.0,27810.0,3198.0,3731.0,3106.0,3862.0,5601.0,3934.0,2401.0,1269.0,595.0,109.0,4.0
45210-100188358,김제교동휴먼시아,0.0,441.14,4541.27,4541.27,0.0,58.0,0.0,전라북도 김제시 교정길 36,전라북도 김제시 교동 399,전라북도김제시교동,4521058000,전라북도,김제시,교월동,4521010900,교동,20111226,전라북도김제시교월동,6494.0,2.03,3252.0,3242.0,1.0,6494.0,433.0,499.0,573.0,609.0,756.0,1042.0,1105.0,857.0,531.0,82.0,7.0,3252.0,3252.0,234.0,251.0,323.0,304.0,427.0,582.0,563.0,384.0,176.0,8.0,0.0,3242.0,3242.0,199.0,248.0,250.0,305.0,329.0,460.0,542.0,473.0,355.0,74.0,7.0
48310-100185638,일운주공아파트,0.0,632.363,5196.447,5196.447,0.0,72.0,0.0,경상남도 거제시 일운면 거제대로 2591,경상남도 거제시 일운면 소동리 341,경상남도거제시일운면소동리,4831031000,경상남도,거제시,일운면,4831031025,소동리,19950101,경상남도거제시일운면,8014.0,2.05,4097.0,3917.0,1.05,8014.0,549.0,627.0,657.0,830.0,1243.0,1602.0,1479.0,630.0,339.0,57.0,1.0,4097.0,4097.0,279.0,331.0,382.0,424.0,657.0,849.0,767.0,295.0,105.0,7.0,1.0,3917.0,3917.0,270.0,296.0,275.0,406.0,586.0,753.0,712.0,335.0,234.0,50.0,0.0
48840-100177986,평리휴먼시아아파트,0.0,524.3340000000001,7014.963000000001,6975.519,0.0,90.0,0.0,경상남도 남해군 남해읍 스포츠로 20,경상남도 남해군 남해읍 평리 1700,경상남도남해군남해읍평리,4884025000,경상남도,남해군,남해읍,4884025029,평리,19880423,경상남도남해군남해읍,13170.0,2.1,6447.0,6723.0,0.96,13170.0,835.0,1406.0,1538.0,1105.0,1918.0,2201.0,2018.0,1224.0,790.0,134.0,1.0,6447.0,6447.0,411.0,747.0,922.0,546.0,917.0,1125.0,963.0,540.0,258.0,18.0,0.0,6723.0,6723.0,424.0,659.0,616.0,559.0,1001.0,1076.0,1055.0,684.0,532.0,116.0,1.0
44230-100186739,휴먼시아아파트,0.0,525.485,6066.181,6066.181,0.0,78.0,0.0,충청남도 논산시 대화로 143,충청남도 논산시 대교동 330,충청남도논산시대교동,4423052000,충청남도,논산시,부창동,4423010300,대교동,19960301,충청남도논산시부창동,16173.0,2.22,7849.0,8324.0,0.94,16173.0,1219.0,1812.0,1771.0,1529.0,2527.0,2844.0,2384.0,1293.0,704.0,88.0,2.0,7849.0,7849.0,610.0,924.0,992.0,744.0,1248.0,1434.0,1110.0,537.0,233.0,16.0,1.0,8324.0,8324.0,609.0,888.0,779.0,785.0,1279.0,1410.0,1274.0,756.0,471.0,72.0,1.0
30170-24137,주공아파트,0.0,102.65,102.65,102.65,0.0,0.0,0.0,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,대전광역시서구월평동,3017058600,대전광역시,서구,월평1동,3017011300,월평동,19950101,대전광역시서구월평1동,11231.0,1.57,5998.0,5233.0,1.15,11231.0,374.0,544.0,2875.0,1866.0,1514.0,1889.0,1349.0,557.0,226.0,35.0,2.0,5998.0,5998.0,194.0,287.0,1542.0,1122.0,857.0,975.0,670.0,265.0,79.0,6.0,1.0,5233.0,5233.0,180.0,257.0,1333.0,744.0,657.0,914.0,679.0,292.0,147.0,29.0,1.0
30170-24137,주공아파트,0.0,102.65,102.65,102.65,0.0,0.0,0.0,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,대전광역시서구월평동,3017058700,대전광역시,서구,월평2동,3017011300,월평동,19950101,대전광역시서구월평2동,15029.0,2.06,7146.0,7883.0,0.91,15029.0,775.0,1283.0,1888.0,1538.0,1941.0,2805.0,2616.0,1287.0,763.0,131.0,2.0,7146.0,7146.0,378.0,660.0,1019.0,789.0,907.0,1314.0,1291.0,544.0,212.0,31.0,1.0,7883.0,7883.0,397.0,623.0,869.0,749.0,1034.0,1491.0,1325.0,743.0,551.0,100.0,1.0
30170-24137,주공아파트,0.0,102.65,102.65,102.65,0.0,0.0,0.0,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218,대전광역시서구월평동,3017058800,대전광역시,서구,월평3동,3017011300,월평동,19980101,대전광역시서구월평3동,21516.0,2.81,10574.0,10942.0,0.97,21516.0,1765.0,2663.0,2713.0,2624.0,3384.0,3886.0,3018.0,938.0,450.0,74.0,1.0,10574.0,10574.0,906.0,1439.0,1495.0,1265.0,1543.0,1786.0,1531.0,438.0,154.0,17.0,0.0,10942.0,10942.0,859.0,1224.0,1218.0,1359.0,1841.0,2100.0,1487.0,500.0,296.0,57.0,1.0
