col_comb,cb1,svr,cb2,rf,gb,cb3
"['0~19 인구수', '공가비율*임대료', '총세대수', '공가수']",135.26649627748844,137.9128705299253,131.42115021421583,130.26296613783842,132.39197865499767,133.7644876430298
"['0~19 인구수', '공가비율*임대료', '지하철역', '공가수']",134.2754055805749,144.82935554843453,132.53840962110343,134.16408606111182,129.74717789689333,138.57241103511723
"['0~19 인구수', '공가비율*임대료', '공가비율', '공가수']",130.8342346507665,144.81464466548724,129.510976581949,128.89742343441893,130.9768407006244,131.68468395507495
"['0~19 인구수', '공가비율*임대료', '공공분양', '공가수']",135.60438090625502,144.82582329378315,131.36060559397598,134.44013470055484,127.56241778844483,135.4052826890777
"['0~19 인구수', '공가비율*임대료', '행복주택', '공가수']",134.01992785193514,144.81573816783376,132.71331610268015,135.0732570876336,127.70801361542813,140.57362411913604
"['0~19 인구수', '공가비율*임대료', '국민임대', '공가수']",132.98389053419314,144.8333712170796,130.62933774823316,134.42228413311236,126.90742640436875,132.90657002290155
"['0~19 인구수', '공가비율*임대료', '전용면적/임대료', '공가수']",127.76822439888277,140.48888641906544,127.90952412644518,129.63553703934286,128.33908084601185,130.11616235884767
"['0~19 인구수', '공가비율*임대료', '총세대수/전용면적', '공가수']",129.0939231439407,144.39673284162694,126.35402341279209,129.71631510399374,127.24378692184102,129.45196600076412
"['0~19 인구수', '공가비율*임대료', '전용면적/연면적', '공가수']",131.62958909396383,144.8181476733845,131.9939477596891,133.32217761739597,128.34007673710096,133.8806617135478
"['0~19 인구수', '공가비율*임대료', '공가비율*전용면적별세대수', '공가수']",130.29005624089774,144.78912935862792,129.412486430959,131.57291830433942,129.9275300113374,134.7524196444569
"['0~19 인구수', '공가비율*임대료', '남/여_70세이상', '공가수']",129.10462256101764,144.80261645392198,127.65803435359078,131.41423016764787,129.56542809473868,131.0147711408701
"['0~19 인구수', '공가비율*임대료', '전용면적/전용면적별세대수', '공가수']",129.12311646150815,144.82314686053655,127.65202241234218,129.06583039425942,125.33277172608605,132.02655254979123
"['0~19 인구수', '공가비율*임대료', '70세이상 인구수', '공가수']",134.4593665809094,144.78272383955542,134.65552845136637,133.45094055565232,131.1915602456067,138.93141863663877
"['0~19 인구수', '공가비율*임대료', '공가비율*연면적', '공가수']",131.86544501290274,144.10498694766747,129.66608578983679,131.79404372634096,129.585917553595,132.24042977341338
"['0~19 인구수', '공가비율*임대료', '남/여_0~19세', '공가수']",125.83176781002071,144.83827672366132,128.19350849202664,130.3797649225267,129.03957869414666,130.9764642166803
"['0~19 인구수', '공가비율*임대료', '총세대수*전용면적', '공가수']",126.22307163875375,144.86507341326578,123.84941325356112,125.29354512230051,125.0530302188804,124.91374119205298
"['0~19 인구수', '공가비율*임대료', '장기전세', '공가수']",133.85984687841443,144.82127100675206,132.0711315837166,134.62518418210135,127.17439372239369,135.3250970398275
"['0~19 인구수', '공가비율*임대료', '전용면적별세대수*전용면적', '공가수']",129.65586553206398,144.36984637814425,126.3170557603595,126.70604733601303,124.03424741749299,130.41098116884964
"['0~19 인구수', '공가비율*임대료', '공공임대(분납)', '공가수']",133.66983199216276,144.81604070012799,131.7277093266978,134.40068134630351,127.83293007767729,138.44701119357504
"['0~19 인구수', '공가비율*임대료', '공가비율*전용면적', '공가수']",127.56410194589031,144.81541392695848,127.37971171269442,129.3090918535245,128.52945092490614,134.79894808985063
"['0~19 인구수', '공가비율*임대료', '공공임대(10년)', '공가수']",128.7431869223267,144.8245611551293,127.37132803034947,131.9059819502496,126.84536172415191,133.25031129574242
"['0~19 인구수', '공가비율*임대료', '공공임대(5년)', '공가수']",134.99208255639098,144.81347128505143,132.9413923788191,134.64189606993733,126.93160671979174,134.894575584943
"['0~19 인구수', '공가비율*임대료', '남/여_40~69세', '공가수']",130.39742825239546,144.82379296777958,131.62452375039192,131.177861614238,127.37835225785321,133.2933547629456
"['0~19 인구수', '공가비율*임대료', '공공임대(50년)', '공가수']",133.93696614373727,144.81470194544104,131.20454373216108,134.6594643650928,126.74090599151114,138.15164388996212
"['0~19 인구수', '공가비율*임대료', '전용면적*연면적', '공가수']",129.3318202787087,142.15390694068304,130.17053761984113,130.9569917308263,126.232578511823,131.52982043296802
"['0~19 인구수', '공가비율*임대료', 'subway_dist', '공가수']",127.35198213404517,144.83322938351867,126.90689671373516,130.65553992322415,130.5436516775589,132.35322309360575
"['0~19 인구수', '공가비율*임대료', '환승역 수', '공가수']",133.48646746457823,144.8318698022976,132.35667445023188,134.0819906757535,128.56322410649017,137.20470800371072
