iter	RMSE
0	521.9304389
1	513.1087967
2	506.3178897
3	497.7634016
4	490.7550151
5	483.2308553
6	475.5847962
7	468.4584464
8	461.0876667
9	454.2322169
10	447.1041047
11	440.3531767
12	434.2974544
13	428.3742426
14	422.8910415
15	416.2011891
16	409.7109993
17	404.0328847
18	397.9639442
19	392.8311496
20	387.638
21	382.517773
22	376.8225817
23	372.2074138
24	367.7126542
25	362.9434883
26	358.834961
27	354.0183236
28	349.6542831
29	345.7279772
30	342.2458779
31	338.1111171
32	334.6783863
33	330.8466541
34	326.3403839
35	322.8551738
36	319.3451935
37	316.0706198
38	311.9116121
39	308.0411296
40	304.26656
41	301.3612194
42	297.6874087
43	294.7271967
44	291.4677061
45	288.0554726
46	285.4110256
47	282.4995788
48	278.6279086
49	275.2675499
50	271.5572162
51	268.9087581
52	266.0854438
53	263.3604599
54	260.8898031
55	257.9977085
56	255.7105189
57	253.0233421
58	250.3849607
59	247.5660446
60	245.2312805
61	243.1684904
62	240.7991602
63	238.2275316
64	236.2524518
65	233.8935611
66	232.1254739
67	230.3657507
68	228.3452075
69	225.7791441
70	223.9428444
71	221.7448354
72	219.9567162
73	217.8447894
74	215.8268323
75	214.2404981
76	212.4184385
77	210.7889742
78	208.9483865
79	207.1941633
80	205.5046469
81	204.2042335
82	202.2827387
83	200.7735653
84	199.3719069
85	197.8269699
86	196.2794409
87	194.6699907
88	193.3045392
89	191.7483174
90	190.1438011
91	188.9372081
92	187.6217455
93	185.6206144
94	184.402088
95	182.8841017
96	181.4184565
97	179.5756258
98	178.5771137
99	177.3918924
100	176.0964865
101	174.7889322
102	173.8662513
103	172.5611048
104	171.5466
105	170.3532732
106	169.6740136
107	168.4749174
108	167.243979
109	166.0798128
110	165.3959619
111	164.4264782
112	163.1550535
113	162.1776666
114	161.4994991
115	160.5762481
116	159.6974369
117	158.7589471
118	157.6067644
119	156.5684566
120	155.7535737
121	154.7232611
122	153.9575647
123	153.0614531
124	152.2992787
125	151.6234915
126	150.4806545
127	150.076669
128	149.0067747
129	148.0617535
130	147.2720639
131	146.2828235
132	145.2115074
133	144.3566425
134	143.6098316
135	143.251602
136	142.4587944
137	141.7190213
138	141.1380714
139	140.2995571
140	139.4890763
141	138.6676746
142	138.1727047
143	137.7943941
144	137.0427094
145	136.207857
146	135.3659586
147	135.1387112
148	134.3622372
149	133.6859986
150	133.2775828
151	132.6222762
152	132.0516529
153	131.5386286
154	131.1953675
155	130.4194243
156	130.0977132
157	129.4853289
158	128.8688575
159	128.2264505
160	127.4803199
161	126.9962833
162	126.4400023
163	125.7070523
164	125.3315366
165	125.1549362
166	124.6966453
167	124.040291
168	123.2628017
169	122.9817637
170	122.7235659
171	122.1650883
172	121.8222829
173	121.3278468
174	121.0305707
175	120.3510783
176	119.6557818
177	119.2395808
178	118.6464034
179	118.3257511
180	117.9907518
181	117.3502829
182	117.2436527
183	116.9405451
184	116.2230305
185	115.761024
186	115.0862825
187	114.5708981
188	114.1179788
189	113.7068776
190	113.113736
191	112.6607364
192	112.1520952
193	112.0108448
194	111.8590625
195	111.3937862
196	111.2712896
197	111.1034354
198	110.6051657
199	109.9936489
200	109.1901974
201	108.5295711
202	108.004323
203	107.5483482
204	107.3819084
205	107.025921
206	106.8245637
207	106.2204116
208	105.8933721
209	105.3190131
210	104.8425784
211	104.4451323
212	103.9910413
213	103.7549268
214	103.6337535
215	103.4048566
216	103.154387
217	102.8299554
218	102.7028124
219	102.5943052
220	102.4440334
221	102.133725
222	101.7259781
223	101.2010981
224	100.720735
225	100.4886113
226	100.1643976
227	100.0120028
228	99.89077393
229	99.74194076
230	99.15749547
231	98.51421969
232	97.98954329
233	97.57536182
234	97.41095566
235	96.90163472
236	96.79184485
237	96.31130462
238	96.21847196
239	96.1177401
240	95.79965943
241	95.34082916
242	94.67478294
243	94.41021076
244	94.25572185
245	93.84048542
246	93.37759874
247	93.25964978
248	93.15207071
249	92.98536984
250	92.73355259
251	92.5980927
252	92.2143175
253	92.10851937
254	91.45857617
255	91.36624361
256	90.83707624
257	90.52198146
258	89.97932254
259	89.73422786
260	89.22452563
261	88.60042124
262	88.05679457
263	87.87075379
264	87.39772058
265	86.88715133
266	86.76298395
267	86.54019915
268	86.12285656
269	85.53308545
270	85.42116706
271	85.03632953
272	84.70967189
273	84.50068284
274	84.09094002
275	83.52392015
276	83.44890951
277	83.05244804
278	82.85239444
279	82.34452085
280	81.8416597
281	81.41379262
282	81.0225851
283	80.92999938
284	80.869529
285	80.49222178
286	80.42341468
287	80.0802264
288	79.65391059
289	79.57089284
290	79.21570656
291	78.88258415
292	78.49766097
293	78.40897337
294	78.33000354
295	77.99910671
296	77.46340394
297	77.15538707
298	77.08145164
299	76.81776492
300	76.73704313
301	76.65614608
302	76.46012661
303	76.39342872
304	76.233681
305	75.83572403
306	75.52166449
307	75.46498467
308	75.39558666
309	75.01192868
310	74.70686872
311	74.44191857
312	74.12364993
313	73.74799708
314	73.31084307
315	73.24507879
316	73.06031438
317	73.0079956
318	72.58152358
319	72.44523856
320	72.11870255
321	72.0528287
322	71.7615161
323	71.70928988
324	71.65096337
325	71.30473894
326	71.24412606
327	71.1305446
328	71.08741551
329	70.70377363
