old;new
서울특별시 성동구 송정14길 9;서울특별시 성동구 송정동 73-885 자연애가
서울특별시 성동구 청계천로 474;서울특별시 성동구 하왕십리동 286-2 왕십리 모노퍼스 주상복합
서울특별시 성동구 왕십리로 410;서울특별시 성동구 하왕십리동 1070 센트라스
서울특별시 성동구 매봉길 50;서울특별시 성동구 옥수동 528 이편한세상옥수파크힐스
서울특별시 성동구 광나루로9가길 5-14;서울특별시 성동구 송정동 66-178
서울특별시 성동구 금호로 173;서울특별시 성동구 금호동2가 1 신금호파크자이
서울특별시 성동구 자동차시장3길 3;서울특별시 성동구 용답동 226-13 그린빌-B
서울특별시 성동구 자동차시장3길 1;서울특별시 성동구 용답동 226-7 그린빌-A
서울특별시 성동구 무학로 33;서울특별시 성동구 하왕십리동 1066 텐즈힐
서울특별시 성동구 마장로 137;서울특별시 성동구 상왕십리동 811 텐즈힐
서울특별시 성동구 매봉길 17;서울특별시 성동구 옥수동 562 래미안 옥수 리버젠
서울특별시 성동구 금호로 111;서울특별시 성동구 금호동2가 1216 하이리버
서울특별시 성동구 금호산8길 14;서울특별시 성동구 금호동3가 700 금호자이2차
서울특별시 성동구 금호로3길 11;서울특별시 성동구 금호동4가 235-1 서울숲2차푸르지오
서울특별시 성동구 고산자로 175;서울특별시 성동구 행당동 376-1 서울숲행당푸르지오아파트
서울특별시 성동구 행당로8길 8;서울특별시 성동구 행당동 375 행당두산위브
서울특별시 성동구 동일로 237;서울특별시 성동구 송정동 104 서울숲아이파크
서울특별시 성동구 난계로 73;서울특별시 성동구 하왕십리동 1058 극동미라주 아파트
서울특별시 성동구 고산자로 164;서울특별시 성동구 행당동 349 서울숲한신더휴
서울특별시 성동구 난계로 114-31;서울특별시 성동구 하왕십리동 1052 금호 베스트빌
서울특별시 성동구 독서당로 272;서울특별시 성동구 금호동4가 800 금호동 대우아파트
서울특별시 성동구 금호로 100;서울특별시 성동구 금호동1가 633 벽산아파트
서울특별시 성동구 행당로 82;서울특별시 성동구 행당동 346 행당 한진타운
서울특별시 성동구 행당로 79;서울특별시 성동구 행당동 347 행당동 대림아파트
서울특별시 성동구 독서당로 218;서울특별시 성동구 옥수동 250 옥수삼성아파트
서울특별시 성동구 한림말길 50;서울특별시 성동구 옥수동 100 옥수하이츠아파트
서울특별시 성동구 독서당로 175;서울특별시 성동구 옥수동 436 극동그린아파트
서울특별시 성동구 무학로 50;서울특별시 성동구 하왕십리동 258 벽산아파트
서울특별시 성동구 뚝섬로9길 12;서울특별시 성동구 성수동2가 328-40
서울특별시 성동구 동일로43나길 3;서울특별시 성동구 송정동 88-15
서울특별시 성동구 고산자로26길 17;서울특별시 성동구 마장동 506-15 소망빌라
서울특별시 성동구 자동차시장1길 14;서울특별시 성동구 용답동 226-4 와이엠프라젠아파트
서울특별시 성동구 마조로15가길 23;서울특별시 성동구 마장동 831 마장 에스에이치빌
서울특별시 광진구 영화사로3길 69;서울특별시 광진구 중곡동 74-22 현대캐슬
서울특별시 광진구 면목로 103;서울특별시 광진구 중곡동 245-2
서울특별시 광진구 능동로43길 18-12;서울특별시 광진구 중곡동 242-28 타워파크빌
서울특별시 광진구 동일로74길 32;서울특별시 광진구 중곡동 191-72 위드32
서울특별시 광진구 동일로76길 32;서울특별시 광진구 중곡동 189-46 명성리치빌
서울특별시 광진구 동일로34길 24-2;서울특별시 광진구 군자동 358-20 위드34
서울특별시 광진구 답십리로84길 49;서울특별시 광진구 중곡동 197-11 드림하우스
서울특별시 광진구 아차산로 356;서울특별시 광진구 자양동 219-8 제이 타워
서울특별시 광진구 아차산로46가길 1;서울특별시 광진구 자양동 219-24 건대 메이저 캐슬
서울특별시 광진구 능동로39길 5;서울특별시 광진구 중곡동 648-19 와이위드미
서울특별시 광진구 자양번영로7길 12;서울특별시 광진구 자양동 227-276 위너시원
서울특별시 광진구 동일로80길 37;서울특별시 광진구 중곡동 574-2 더 메인즈빌
서울특별시 광진구 천호대로122길 30;서울특별시 광진구 능동 253-6 블루스카이
서울특별시 광진구 답십리로82길 31;서울특별시 광진구 중곡동 210-23 타워파크빌
서울특별시 광진구 자양로 144-1;서울특별시 광진구 구의동 251-26
서울특별시 광진구 천호대로136길 52-1;서울특별시 광진구 구의동 64-4 구의 에스하임 Ⅳ
서울특별시 광진구 긴고랑로3길 12;서울특별시 광진구 중곡동 233-37 제이앤빌
서울특별시 광진구 긴고랑로1길 17;서울특별시 광진구 중곡동 235-6
서울특별시 광진구 자양번영로3가길 15;서울특별시 광진구 자양동 584-10 에코하우스
서울특별시 광진구 능동로43길 30-11;서울특별시 광진구 중곡동 243-28
서울특별시 광진구 자양로44다길 29-8;서울특별시 광진구 구의동 35-39
서울특별시 광진구 용마산로14길 7;서울특별시 광진구 중곡동 150-95
서울특별시 광진구 구의강변로 89;서울특별시 광진구 구의동 217-5
서울특별시 광진구 뚝섬로59길 81-12;서울특별시 광진구 자양동 624-32 굿모닝빌
서울특별시 광진구 뚝섬로58길 44;서울특별시 광진구 자양동 667-10 베스트빌
서울특별시 광진구 뚝섬로47길 48;서울특별시 광진구 자양동 620-14 베스트빌
서울특별시 광진구 동일로66길 55;서울특별시 광진구 중곡동 256-37 금성하이츠빌
서울특별시 광진구 답십리로84길 33;서울특별시 광진구 중곡동 196-11
서울특별시 광진구 광나루로44길 41-14;서울특별시 광진구 구의동 208-63 A, A빌라트
서울특별시 광진구 자양번영로 28-4;서울특별시 광진구 자양동 601-7 굿모닝빌
서울특별시 광진구 천호대로129길 27;서울특별시 광진구 중곡동 113-15 대흥빌라
서울특별시 광진구 뚝섬로57가길 47;서울특별시 광진구 자양동 635-9
서울특별시 광진구 능동로55길 14;서울특별시 광진구 중곡동 169-50
서울특별시 광진구 용마산로36길 28-8;서울특별시 광진구 중곡동 600-11
서울특별시 광진구 영화사로 77-1;서울특별시 광진구 구의동 16-6
서울특별시 광진구 천호대로127길 58;서울특별시 광진구 중곡동 110-10
서울특별시 광진구 천호대로125길 37;서울특별시 광진구 중곡동 118-41 부광주택
서울특별시 광진구 천호대로116길 109;서울특별시 광진구 능동 146-3
서울특별시 광진구 자양로53길 108;주소 없음
서울특별시 광진구 자양로40길 5;서울특별시 광진구 구의동 71-15 센스빌리지
서울특별시 광진구 자양로39길 12-8;서울특별시 광진구 구의동 78-13
서울특별시 광진구 자양로37가길 8-15;서울특별시 광진구 구의동 619-11 일송빌라
서울특별시 광진구 영화사로9길 89;서울특별시 광진구 중곡동 73-90
서울특별시 광진구 영화사로3길 95;서울특별시 광진구 중곡동 73-94
서울특별시 광진구 긴고랑로36길 57-11;서울특별시 광진구 중곡동 85-13 이레하우스
