old;new
충청남도 청양군 청양읍 고리섬들길 53;충청남도 청양군 청양읍 읍내리 476 휴먼시아
강원도 춘천시 후석로228번길 47;강원도 춘천시 후평동 899 석사3아파트
강원도 태백시 삼방길 40;강원도 태백시 철암동 467 태백철암주공아파트
경상남도 통영시 발개로 153;경상남도 통영시 도남동 483-2 충무도남주공아파트
충청남도 홍성군 홍성읍 문화로72번길 72;충청남도 홍성군 홍성읍 남장리 522 홍성남장2주공아파트
제주특별자치도 제주시 화삼북로2길 12;제주특별자치도 제주시 화북일동 1002-1 삼화휴먼시아1단지
충청북도 제천시 청풍호로10길 18;충청북도 제천시 강제동 898 휴먼시아3단지아파트
전라남도 여수시 소라면 덕양로 97-9;전라남도 여수시 소라면 죽림리 1102 죽림휴먼시아
전라남도 여수시 소라면 죽림로 38;전라남도 여수시 소라면 죽림리 1123 죽림휴먼시아2차
충청북도 음성군 맹동면 대동로 26;충청북도 음성군 맹동면 쌍정리 131-1 음성맹동휴먼시아
경상북도 고령군 다산면 평리6길 30;경상북도 고령군 다산면 곽촌리 357 다산휴먼시아3단지
전라북도 순창군 풍산면 풍산로 499;전라북도 순창군 풍산면 대가리 1678 풍산휴먼시아 아파트
경기도 부천시 양지로 20;경기도 부천시 괴안동 251-1 범박휴먼시아1단지
전라북도 남원시 가방뜰길 57;전라북도 남원시 금동 586 금동휴먼시아
강원도 원주시 무실로 300;강원도 원주시 무실동 1790 원주무실8단지엘에이치아파트
경상남도 사천시 용현면 진삼로 580;경상남도 사천시 용현면 송지리 1320 용현휴먼시아
충청북도 진천군 진천읍 문화로 237-19;충청북도 진천군 진천읍 벽암리 581 진천벽암휴먼시아
부산광역시 강서구 과학산단2로20번길 35;부산광역시 강서구 지사동 1183-1 부산지사휴먼시아
광주광역시 북구 첨단연신로 250;광주광역시 북구 신용동 667 첨단휴먼시아
광주광역시 북구 첨단연신로 245;광주광역시 북구 신용동 679 첨단휴먼시아
경상남도 양산시 동면 금산2길 12;경상남도 양산시 동면 금산리 855 양산금산휴먼시아
경상북도 구미시 옥계북로 43-52;경상북도 구미시 옥계동 905 구미옥계휴먼시아 2단지
전라남도 무안군 무안읍 공항로 75-9;전라남도 무안군 무안읍 성내리 387 무안성내휴먼시아
경기도 용인시 수지구 광교마을로 90;경기도 용인시 수지구 상현동 1135 광교마을휴먼시아41단지
강원도 강릉시 강변로 94;강원도 강릉시 회산동 602 회산주공아파트
경상남도 거창군 거창읍 소만2길 62;경상남도 거창군 거창읍 대동리 991 소만주공아파트
경상북도 경산시 백자로10길 57;경상북도 경산시 사동 180 사동휴먼시아1단지
경상북도 경산시 솔숲길 100;경상북도 경산시 평산동 695 사동휴먼시아2단지
경상북도 경산시 진량읍 금호강변로 830-3;경상북도 경산시 진량읍 부기리 715 진량 휴먼시아
경상북도 고령군 다산면 상곡길 28;경상북도 고령군 다산면 상곡리 162-7 고령다산주공아파트
경상남도 고성군 고성읍 동외로47번길 12;경상남도 고성군 고성읍 동외리 567 동외주공아파트
전라북도 고창군 고창읍 성산로 19;전라북도 고창군 고창읍 읍내리 1222 고창읍내휴먼시아
부산광역시 기장군 철마면 고촌로44번길 16;부산광역시 기장군 철마면 고촌리 615 고촌휴먼시아1
경기도 광명시 소하로 161;경기도 광명시 소하동 1324 휴먼시아6단지아파트
전라남도 광양시 진등6길 31;전라남도 광양시 마동 1030 마동주공아파트
광주광역시 서구 하남대로710번길 5;광주광역시 서구 동천동 658 동천마을 6단지아파트
광주광역시 남구 효우로60번길 50;광주광역시 남구 노대동 725 송화마을휴먼시아
광주광역시 남구 효우로60번길 37;광주광역시 남구 노대동 726 송화마을휴먼시아
광주광역시 남구 효우로60번길 10;광주광역시 남구 노대동 731 송화마을휴먼시아
광주광역시 광산구 수등로123번길 22;광주광역시 광산구 신가동 1064 아름마을 휴먼시아
광주광역시 광산구 풍영로145번길 42;광주광역시 광산구 흑석동 504 장자울마을 휴먼시아
광주광역시 북구 연양로7번길 58;광주광역시 북구 신용동 647 신용주공아파트
광주광역시 북구 양산제로 110;광주광역시 북구 연제동 11 연제주공아파트
광주광역시 북구 하서로483번길 22;광주광역시 북구 용두동 1089 용두2주공아파트
광주광역시 북구 매곡로 20;광주광역시 북구 용봉동 1461 주공아파트
광주광역시 북구 유림로160번길 5;광주광역시 북구 동림동 234 죽림마을주공아파트
전라북도 군산시 미원로 61;전라북도 군산시 삼학동 888 군산삼학주공아파트
충청남도 금산군 금산읍 비단로 338;충청남도 금산군 금산읍 상리 312 금산상리주공2단지아파트
경상북도 김천시 무실7길 38;경상북도 김천시 덕곡동 767 덕곡주공아파트
경상남도 김해시 율하1로 7;경상남도 김해시 율하동 1291 율곡마을주공2단지아파트
경상남도 김해시 월산로 81-14;경상남도 김해시 부곡동 805-4 월산마을주공14단지아파트
경상남도 김해시 월산로 103;경상남도 김해시 부곡동 805-1 월산마을11단지 주공아파트
경상남도 김해시 진영읍 김해대로 462;경상남도 김해시 진영읍 여래리 981 진영휴먼시아아파트
경기도 남양주시 진접읍 금강로 1554-20;경기도 남양주시 진접읍 장현리 703 휴먼시아
경기도 남양주시 진접읍 해밀예당3로 67;경기도 남양주시 진접읍 금곡리 1093 휴먼시아16단지아파트
경기도 남양주시 진접읍 해밀예당3로 37;경기도 남양주시 진접읍 금곡리 1098 휴먼시아17단지아파트
경기도 남양주시 퇴계원읍 퇴계원로 120-11;경기도 남양주시 퇴계원읍 퇴계원리 367 주공아파트
경기도 남양주시 퇴계원읍 도제원로 116;경기도 남양주시 퇴계원읍 퇴계원리 366 주공아파트
경기도 남양주시 늘을1로 31;경기도 남양주시 호평동 624 호평마을주공아파트
대전광역시 유성구 반석동로 82;대전광역시 유성구 반석동 623 반석마을8단지
대구광역시 달성군 가창면 가창로216길 25;대구광역시 달성군 가창면 용계리 34-2 주공아파트
대구광역시 달성군 다사읍 서재로14길 2;대구광역시 달성군 다사읍 서재리 486 서재휴먼시아
대구광역시 달서구 용산로 88;대구광역시 달서구 장기동 515 장기주공아파트
대전광역시 동구 산내로1257번길 40;대전광역시 동구 낭월동 611 석천들주공아파트
대전광역시 동구 계족로 135;대전광역시 동구 대동 528 새들뫼휴먼시아(2)단지
대전광역시 유성구 와룡로136번길 75;대전광역시 유성구 봉산동 298 봉산휴먼시아2단지아파트
경기도 동두천시 중앙로 41;경기도 동두천시 송내동 664-6 송내주공아파트
강원도 동해시 해맞이길 215;강원도 동해시 묵호진동 110 묵호주공아파트
강원도 동해시 평릉1길 37;강원도 동해시 천곡동 1101 천곡6주공아파트
