old;new
경기도 양주시 고읍로 117-21;경기도 양주시 만송동 698 은빛마을휴먼시아
경기도 양주시 고암길 252-36;경기도 양주시 고암동 580 조은마을
제주특별자치도 제주시 우정로18길 25;제주특별자치도 제주시 외도일동 641-1 아름마을아파트
경기도 용인시 기흥구 구성2로 52;경기도 용인시 기흥구 청덕동 513 휴먼시아물푸레마을1단지아파트
경기도 용인시 기흥구 구성로 392;경기도 용인시 기흥구 청덕동 569 휴먼시아물푸레마을9단지아파트
경기도 용인시 기흥구 동백8로131번길 20;경기도 용인시 기흥구 동백동 584 백현마을주공9단지아파트
경기도 용인시 수지구 죽전로193번길 11;경기도 용인시 수지구 죽전동 1233 성현마을
경기도 용인시 수지구 죽전로27번길 60;경기도 용인시 수지구 죽전동 1279 도담마을
경기도 용인시 기흥구 흥덕1로79번길 7;경기도 용인시 기흥구 영덕동 980 휴먼시아 흥덕마을1단지
울산광역시 울주군 범서읍 대리로 43;울산광역시 울주군 범서읍 구영리 212 구영1주공아파트
대구광역시 동구 율하동로8길 16;대구광역시 동구 율하동 1621 율하 휴먼시아10단지
대구광역시 동구 율하서로 59;대구광역시 동구 율하동 1302 율하휴먼시아5단지
경상남도 김해시 율하2로 164;경상남도 김해시 율하동 1403 율현마을주공13단지아파트
충청북도 음성군 대소면 오태로 115-12;충청북도 음성군 대소면 오산리 155 음성대소주공아파트
경기도 의왕시 청계1로 10;경기도 의왕시 청계동 971 휴먼시아 청계마을
전라북도 익산시 동천로1길 7;전라북도 익산시 동산동 1140 동산여울휴먼시아
충청북도 제천시 내토로59길 7;충청북도 제천시 장락동 1043 제천장락4주공아파트
충청북도 진천군 덕산읍 용몽1길 11;충청북도 진천군 덕산읍 용몽리 1052 진천덕산주공아파트
충청북도 진천군 진천읍 문화2길 14;충청북도 진천군 진천읍 신정리 824 진천신정주공아파트
경상북도 청도군 화양읍 범곡길 3-11;경상북도 청도군 화양읍 범곡리 422 범곡휴먼시아
강원도 춘천시 승지골길16번길 14;강원도 춘천시 퇴계동 1025 퇴계7단지주공아파트
경기도 평택시 이충로 38;경기도 평택시 이충동 688 반지마을주공아파트
경상북도 안동시 송현길 16;경상북도 안동시 송현동 1145 송현휴먼시아3단지
경기도 가평군 가평읍 가화로 164;경기도 가평군 가평읍 읍내리 234 휴먼시아
충청북도 청주시 서원구 성봉로 93;충청북도 청주시 서원구 성화동 897 성화 휴먼시아5단지
전라북도 익산시 선화로1길 25-14;전라북도 익산시 모현동2가 674 배산휴먼시아4단지
경상남도 양산시 배움터길 11;경상남도 양산시 평산동 347 평산휴먼시아
경기도 의왕시 포일세거리로 23;경기도 의왕시 포일동 658 포일숲속마을휴먼시아
광주광역시 광산구 선운중앙로 68;광주광역시 광산구 선암동 540 광주선운휴먼시아
부산광역시 기장군 정관읍 산단4로 160;부산광역시 기장군 정관읍 달산리 1231 정관신도시 엘에이치 4단지
경기도 평택시 경기대로 506;경기도 평택시 비전동 1005 휴먼시아1단지
경상남도 진주시 새평거로 70;경상남도 진주시 평거동 802 평거엘에이치5단지
경상북도 경주시 안강읍 안강중앙로 141;경상북도 경주시 안강읍 산대리 2435 경주안강엘에이치아파트
대전광역시 유성구 지족로148번길 22;대전광역시 유성구 지족동 1050 엘에이치 네이처뷰
경상북도 김천시 용전3로 10;경상북도 김천시 율곡동 768 경북혁신엘에이치천년나무3단지
강원도 원주시 배울로 50;강원도 원주시 반곡동 2047-4 푸른숨엘에이치3단지
울산광역시 중구 종가로 668-9;울산광역시 중구 서동 617 우정엘에이치1단지
경기도 남양주시 별내3로 23;경기도 남양주시 별내동 1037 미리내마을 4-4단지
경상북도 상주시 동수4길 55;경상북도 상주시 무양동 300 상주무양엘에이치7단지
경기도 평택시 비전2로 70;경기도 평택시 비전동 1008 엘에이치이곡마을3단지
경상북도 군위군 군위읍 동산새길 50;경상북도 군위군 군위읍 서부리 120 군위서부엘에이치천년나무1단지
충청남도 논산시 시민로132번길 10;충청남도 논산시 내동 1108 LH논산내동1단지
경기도 평택시 평남로 962;경기도 평택시 비전동 968 엘에이치 이곡마을 6단지
경상남도 창원시 마산합포구 현동3길 1;경상남도 창원시 마산합포구 우산동 100 창원현동엘에이치아파트
대구광역시 달성군 현풍읍 테크노북로2길 10;대구광역시 달성군 현풍읍 중리 487 대구테크노폴리스엘에이치천년나무1단지
충청북도 음성군 맹동면 이수로 31;충청북도 음성군 맹동면 동성리 228 천년나무1단지
경상남도 함안군 가야읍 성내북길 77;경상남도 함안군 가야읍 도항리 306 함안도항엘에이치3단지
대구광역시 동구 초례로16길 3;대구광역시 동구 숙천동 381 대구신서혁신엘에이치천년나무14단지
강원도 원주시 흥업면 남원로 52;강원도 원주시 흥업면 흥업리 1841 원주 흥업 LH천년나무2
경상남도 김해시 진영읍 김해대로 461;경상남도 김해시 진영읍 여래리 971 센텀큐브
경기도 안성시 아양로 73;경기도 안성시 아양동 341-1 안성서희스타힐스NHF
경기도 남양주시 별내5로 189;경기도 남양주시 별내동 897 별사랑마을2-5단지
세종특별자치시 새롬중앙로 20;세종특별자치시 새롬동 607 새뜸마을8단지
충청북도 제천시 청풍호로7길 76;충청북도 제천시 영천동 2234
강원도 춘천시 우두로 130;강원도 춘천시 우두동 1086 춘천우두엘에이치천년나무1단지
강원도 강릉시 선수촌로 11;강원도 강릉시 홍제동 1039 엘에이치미디어촌5단지
경상남도 김해시 진영읍 김해대로 464-48;경상남도 김해시 진영읍 여래리 984 LH천년나무 2단지 아파트
경상남도 양산시 물금읍 청운로 42;경상남도 양산시 물금읍 물금리 896-1 양산물금엘에이치천년나무아파트
세종특별자치시 보람1길 12;세종특별자치시 보람동 732 호려울마을2단지
전라남도 함평군 대동면 영수길 367;전라남도 함평군 대동면 향교리 1428 LH 함평향교 1단지
경기도 용인시 처인구 금령로40번길 15-5;경기도 용인시 처인구 김량장동 338-7
대전광역시 중구 목중로39번길 35-14;대전광역시 중구 목동 363-3 대전목동엘에이치행복주택2단지
대구광역시 달서구 갈밭남로 64;대구광역시 달서구 대곡동 1138 대구대곡수목원풍경그린
경기도 평택시 죽백4로 60;경기도 평택시 죽백동 815 평택 LH 행복주택
광주광역시 남구 노대실로 9;광주광역시 남구 노대동 825 엘에이치 송화마을 8단지
경상남도 창원시 진해구 냉천로 125;경상남도 창원시 진해구 석동 662 창원석동엘에이치아파트
세종특별자치시 조치원읍 조치원중고길 7;세종특별자치시 조치원읍 서창리 25-1 세종서창 행복주택
부산광역시 기장군 정관읍 정관1로 51;부산광역시 기장군 정관읍 모전리 717
경기도 남양주시 진접읍 금강로 1530-33;경기도 남양주시 진접읍 장현리 50-3 남양주장현5 2BL 행복주택
울산광역시 북구 박상진4로 56;울산광역시 북구 화봉동 1491-2 울산송정엘에이치1단지
충청북도 괴산군 괴산읍 남산길 43;충청북도 괴산군 괴산읍 동부리 149 괴산동부엘에이치행복마을
전라북도 익산시 무왕로22길 12;전라북도 익산시 부송동 1069 익산부송 1 주공아파트
광주광역시 광산구 임방울대로800번길 11-5;광주광역시 광산구 월계동 869-2 광주첨단 LH 3단지
전라남도 여수시 관문1길 14;전라남도 여수시 관문동 251-2 여수관문행복주택
경기도 평택시 청북읍 안청로1길 21;경기도 평택시 청북읍 옥길리 1125 평택청북 LH B12단지
충청북도 충주시 호암수청1로 30;충청북도 충주시 호암동 1067 충주호암 행복주택
제주특별자치도 서귀포시 성산읍 고성동서로 33;제주특별자치도 서귀포시 성산읍 고성리 1141-1 서귀포성산엘에이치아파트
충청북도 충주시 호암수청2로 56;충청북도 충주시 호암동 1066 충주호암1단지
강원도 화천군 화천읍 산천어길 196;강원도 화천군 화천읍 신읍리 1818 공공실버주택
경상남도 창원시 마산합포구 가포본동5길 37;경상남도 창원시 마산합포구 가포동 58-2 창원가포 엘에이치아파트 1단지
전라북도 정읍시 첨단3로 7;전라북도 정읍시 신정동 1494-1
